[00:00:00] 只是开了一扇窗户
[00:33:58] 所以当时GM出来的时候是综合了这两种能力
[00:34:01] 而且这是第一个就是本身融合了两种方法
[00:34:04] 第二个呢呃由于它采用了一部分的双向注意力
[00:34:10] 他是不是全部的双向注力
[00:34:11] 是一部分的双向注意力
[00:34:13] 其实取得了一个意外的一个效果
[00:34:15] 是说整个在训练的过程当中
[00:34:18] 它的稳定性更好嗯就大规模训练的时候
[00:34:20] 它稳定性感觉更好啊
[00:34:23] 就是体感上工程上得到的一个结果
[00:34:26] 然后再一个呢就是说他训练完了以后
[00:34:29] 这个模型他得到的那个参数矩阵
[00:34:33] 它的分布相对来说比较集中
[00:34:36] 就是它不会特别散
[00:34:37] 所以集中的好处是什么呢
[00:34:39] 我可以做量化的时候
[00:34:41] 精度的损失少啊
[00:34:42] 这个很好理解
[00:34:43] 比如说你的值域是这么宽的话
[00:34:45] 你要做量化
[00:34:45] 比如说平均把它分八等份
[00:34:47] 那每一个域的宽度就很大
[00:34:49] 你一个量化后的结果代表的这个宽度
[00:34:51] 它的精度损失就大
[00:34:53] 但是我如果我的分布本身就窄
[00:34:55] 那我量化的时候同样是分八等份
[00:34:57] 那我每一等份它精度的这个阈值就小
[00:35:01] 我的精度相位就更准确一些对吧
[00:35:04] 这是很好理解的一件事情
[00:35:05] 数学上
[00:35:06] 所以这也是一些额外的一些因素吧
[00:35:09] 所以那个算法本身还是挺受呃
[00:35:12] 学术界和产业界的认可啊
[00:35:15] 到现在大家也还是认可gm
[00:35:17] 是独树一帜的一个流派啊
[00:35:19] 然后后来再接着下来就是一啊对21年嗯
[00:35:24] 嗯然后接下来就是22年
[00:35:26] 就是我们当时就开始决策
[00:35:29] 要不要像GBT三一样去做一个
[00:35:33] 因为那个时候scanning note还很简单的
[00:35:35] 你参数量翻一倍翻十倍上去
[00:35:37] 你智能水平就啪就上去了啊对吧
[00:35:39] 大家都相信这个嗯
[00:35:41] 所以那时候就开始决策说
[00:35:42] 我们要不要去用GDGM算法去做一个迁移的模型
[00:35:46] 迁移的模型
[00:35:47] 22年二二年嗯
[00:35:49] 22年几月份啊
[00:35:50] 应该是21年底
[00:35:51] 当时你们怎么认知OpenAI
[00:35:53] 其实我们就很关注
[00:35:54] 我们看下
[00:35:55] 一直在感觉这个这个公司挺神奇的
[00:35:57] 15年成立
[00:35:58] 然后之前一直在做强化学习
[00:36:00] 突然到18年的时候把强化学习突扔了
[00:36:03] 然后开始搞这个GBT这个事
[00:36:06] 然后开始终身预训练
[00:36:07] 对重生育训练这个事
[00:36:09] 然后一辆是我
[00:36:10] 我个人还是挺挺喜欢这个
[00:36:12] 我他的基本上他的论文也好
[00:36:15] 他的很多的这个文章也好
[00:36:16] 我都看
[00:36:17] 我觉得他很多的思考还是非常深入的
[00:36:20] 而且确实是很到很到点子上
[00:36:23] 那时候应该觉得他们就是一个研究机构对吗对
[00:36:25] 那个时候因为大家都知道
[00:36:27] 他是当时是很多人投资呃
[00:36:30] 包括马斯克在内投进来的
[00:36:31] 是一个做非盈利的一个机构
[00:36:33] 都觉得他就反正就是一个open lab
[00:36:36] 你们当时有没有想也也做一个这样的open up
[00:36:38] 就是你们做一个中国版的这种open i
[00:36:41] 其实我们的气质就挺像的啊
[00:36:44] 就在那个时候就这么想了
[00:36:45] 对对对
[00:36:46] 其实那个时候就就想干这个事情
[00:36:48] 但因你公司已经成立了
[00:36:49] 你不行
[00:36:49] 不能把它退回去啊
[00:36:50] 那肯定还是得有公司的
[00:36:52] 有公司实体还是更方便一些
[00:36:54] 所以那个时候就在公司这个实体里面
[00:36:56] 就讨论说要不要去对齐GBT3
[00:37:00] 去做这么一个模型的训练
[00:37:01] 就那投入挺大的
[00:37:02] 投入需要多少钱
[00:37:03] 因为GB3当时整个火了之后
[00:37:06] 大家分析它整个的训练成本是2000多万美元
[00:37:12] OK对吧
[00:37:13] 那个时候成本就已经这么高了
[00:37:15] 然后我们自己要去训练的话
[00:37:17] 估计花费可能也得千万级人民币以上嗯
[00:37:23] 这种水平哪怕我们再节省
[00:37:25] 哪怕我们的成本控制的更好
[00:37:28] 呃
[00:37:28] 也得也差不多这个水平
[00:37:30] 比如说我们在外面成立个公司
[00:37:32] 我们就做成功转化好啦
[00:37:33] 只赚钱就是把这个项目卖给客户
[00:37:36] 然后这也是一种做什么公司的方法
[00:37:38] 是对吧
[00:37:38] 为什么还要去追求这种更好的技术
[00:37:40] 你看为什么我们要讲从16年开始那个故事嗯
[00:37:44] 就是从16年开始
[00:37:45] 那个故事其实其实就想给大家传递一个信息
[00:37:47] 就说质朴其实不是单纯的说
[00:37:50] 我们就是想成立一个公司去挣钱
[00:37:52] 其实本院还是在于
[00:37:54] 我们要去探索AGI到底是什么
[00:37:56] 嗯这是这才是我们的本愿
[00:37:59] 只不过哦我们觉得在成立一家公司
[00:38:02] 在产业里面去做这件事情
[00:38:04] 它更符合当下的人工智能发展的这个需求
[00:38:08] 而不是简单的只是做研究
[00:38:11] 也不是简单的去挣钱
[00:38:13] 不是简单的做商业化
[00:38:14] 对啊
[00:38:15] 其实这个事情他是这样
[00:38:17] 因为你是一个探索的过程
[00:38:19] 技术的往前的演进
[00:38:20] 这件事情去是一条主旋律
[00:38:23] 你的商业化是另外一条主旋律
[00:38:25] 这两者之间
[00:38:26] 我们认为在人工智能当下的这个生态里头
[00:38:29] 没有办法完全分隔开的
[00:38:31] 就恰好后来open还走了这条路之后
[00:38:34] 你会发现也事实证明就是这样
[00:38:37] 所以当时你们是很喜欢open i的
[00:38:39] 在嗯很关注他
[00:38:40] 20年二一年二二年是
[00:38:43] 然后你们最后是怎么决策的
[00:38:45] 要不要投入千万
[00:38:46] 对
[00:38:46] 当时当然账上有这么多钱吗
[00:38:48] 具体因为我不管财务哈哈
[00:38:51] 所以我不是很清楚
[00:38:52] 开玩笑
[00:38:52] 但其实确实这个事情的投入
[00:38:54] 对我们来说还是挺大的
[00:38:56] 嗯嗯风险还是有的
[00:38:58] 所以当时要不要做这个事情
[00:39:01] 其实还是很慎重的考虑了一下
[00:39:03] 最后的决策应该还是就是说我们应该做
[00:39:06] 而且必须我们自己来做
[00:39:08] 必须自己来做
[00:39:09] 还有别的选择
[00:39:09] 别的选择就是等着看其他人
[00:39:12] 所以呃我们就很果断的去做
[00:39:14] 当然这个主要还是科学家团队在里边
[00:39:17] 起了很大的一个作用
[00:39:18] 那因为之前的GM的研究呃
[00:39:20] 算法的研究
[00:39:21] 包括刚才说的那些特点
[00:39:23] 都使得我们呃有这个信心说
[00:39:26] 能把这个一样的一个模型把它训练出来
[00:39:29] 并且呢性能不会差
[00:39:31] 不会让这个钱打水漂
[00:39:32] 所以最后决策还是要做这个事情
[00:39:35] 我们就投了这个21年
[00:39:36] 12月底到大半年时间吧
[00:39:38] 一直到22年的78月份哦
[00:39:41] 把它弄完哦
[00:39:43] 大概九个月时间
[00:39:44] 我们那个blog还挂在网上
[00:39:46] 可以看得到整个这个历程
[00:39:48] 然后又过了三个月
[00:39:49] CHHBT9来了
[00:39:50] 对年底正好22年年底的时候
[00:39:53] 11月30号的时候
[00:39:54] 全GBT就上线了
[00:39:55] 其实这个中间这几个月其实还挺
[00:39:59] 我印象挺深刻的
[00:40:00] 我那时候又不在北京
[00:40:01] 我在外地
[00:40:01] 在深圳回不来
[00:40:03] 那个时候我们就因为花了这么大一笔钱
[00:40:05] 我们得去接着去融资
[00:40:07] 跟投资人一笔钱了
[00:40:09] 应该是开始融B轮了吧
[00:40:11] B轮就是第二轮吗
[00:40:13] 对于你来说
[00:40:14] 第二第三轮吧
[00:40:16] 我有点记不太清楚了细节
[00:40:18] 但那个时候就开始跟很多投资人聊聊这个事情
[00:40:22] 然后跟大家讲
[00:40:23] 我们训练这样一个模型
[00:40:25] 有GP3
[00:40:26] 我们也训练了一个对标的模型
[00:40:27] 性能很不错
[00:40:28] 我们也把它开源了啊啊那是我们开第一次开园
[00:40:31] 8月份开源
[00:40:32] 这个东西为什么要开源
[00:40:33] 因为我们当时觉得这个东西捏在手里
[00:40:36] 你自己捏在手里
[00:40:38] 你又没短时间之内
[00:40:39] 你也没办法把它变成钱
[00:40:40] 而且这个事情刚启动
[00:40:41] 刚刚开始让更多的人知道这件事情更重要对吧
[00:40:47] 而且我们要打出我们自己的
[00:40:49] 这个在国际上的影响力
[00:40:50] 那时候我们都是看的国外看到OpenAI
[00:40:52] 看的这个国际的这个这个事情
[00:40:54] 所以开源是一种很容易接受的一种文化
[00:40:58] 嗯中美之间现在还没有现在那么复杂啊
[00:41:00] 所以我们就选择把它开源了
[00:41:02] 开源之后确实影响力非常不错
[00:41:04] 有多国外还是非常认可的
[00:41:06] 我们当时当时开完之后
[00:41:08] 应该是那个报告
[00:41:09] 斯坦福那个李飞飞
[00:41:10] 那个报告应该是我忘了
[00:41:12] 是22年还是23年出来
[00:41:13] 应该是22年出来
[00:41:14] 就在我们开园后不久出来
[00:41:16] 那个报告应该是10月份
[00:41:18] 11月份
[00:41:18] 我忘他那个报告里边唯一一个参与这个评估
[00:41:22] 而且排的比较靠前
[00:41:23] 来自中国的就是我们嗯
[00:41:26] 就是这个就是GM130B
[00:41:28] 所以影响力也非常不错
[00:41:29] 而且评估下结果也非常不错
[00:41:31] 基本上跟呃GB3互有胜负
[00:41:35] 我在想那个时候国内同同期还在做这件事情的
[00:41:38] 还有谁
[00:41:39] 那只有你们在做这个事情
[00:41:40] 其实之前应该还有一些百度在做哦
[00:41:44] 百度有儿女哦
[00:41:45] 百度有儿女
[00:41:47] 然后嗯其实那个时候阿里也其实也开始做了哦
[00:41:51] 阿里好早以红霞对对对对对
[00:41:54] 他做那个MOE啊什么那些东西
[00:41:56] 然后研究机构
[00:41:57] 就当时我们因为呃唐老师是那个志源的嘛
[00:42:02] 志愿那个副院长志源
[00:42:04] 当时也是唐老师带领团队去做了一些事情哦
[00:42:08] 对公司是除了阿里和百度以外
[00:42:11] 就是我们在做跟投资人
[00:42:12] 当时讲这事的时候
[00:42:13] 他们兴奋吗
[00:42:14] 听不懂
[00:42:15] 投资人听不懂
[00:42:17] 完全听不懂这是什么东西
[00:42:19] 你们怎么赚钱
[00:42:21] 怎么把这个东西商业化了
[00:42:23] 投资人问的都是这个
[00:42:24] 我印象特别深刻
[00:42:25] 有个投资人往线上聊的
[00:42:27] 这东西你们能变成钱吗
[00:42:29] 啊现在这个你看这个大环境这么差
[00:42:31] 经济这么差
[00:42:32] 要不你们把估值降一半
[00:42:34] 怎么样
[00:42:36] 降了没
[00:42:37] 我肯定不会啊
[00:42:39] 肯定不会
[00:42:39] 就是那笔融资其实没那么顺利的
[00:42:41] 其实挺那个那个时间其实挺艰难
[00:42:43] 拉了多久
[00:42:44] 这这也是我们幸运的地方
[00:42:45] 你看我们把这个事情做完之后
[00:42:47] 到缺GBT火起来是11月底
[00:42:50] 那真正在国内火起来是在春节前后
[00:42:53] 在国内啊
[00:42:54] 春节前后其实就就就就小半年时间
[00:42:57] 就半年时间
[00:42:57] 这小半年你们正好是处于融资的期
[00:43:00] 对对对哦对
[00:43:01] 其实KGBP火起来就帮了我们一个很大的忙
[00:43:04] 就是大家再也不用质疑说哎你这东西到底是啥
[00:43:06] 我们就告诉他说你看CHTPP
[00:43:08] 你懂吗
[00:43:08] 你看过吧
[00:43:09] 知道吧
[00:43:09] 呃我们做的这个事情就是往这去的
[00:43:11] 然后后来都是投资人找你们了是吧
[00:43:13] 对对对
[00:43:13] 很多人就要问哎
[00:43:14] 你们什么时候能把那个全局BP的东西做出来啊
[00:43:17] 什么什么之类的哦
[00:43:18] 所以你们这笔融资close是在那个之后了
[00:43:20] 春节之后了
[00:43:21] 应该是吧
[00:43:22] 就细细节我还不太记得清楚了哦
[00:43:25] 过去也算比较久
[00:43:27] 所以那个时候确实确实是
[00:43:29] 有一段时间是正好卡在那个中间
[00:43:32] 然后HGP帮了我们一个大忙
[00:43:34] 然后我们自己说实话也算是比较争气啊
[00:43:37] 就是很快的我们把那个圈GBT对标的这个圈gm
[00:43:41] 我们就把它弄出来
[00:43:43] 然后也能上线
[00:43:45] 大家看到效果也非常不错
[00:43:46] 尤其在中文上效果非常好
[00:43:48] 而且我们还同时开源了一个
[00:43:49] chat gm的一个开源版本
[00:43:51] 一个小型化的版本
[00:43:53] 因为那个时候只有圈GBT嘛
[00:43:55] 然HP也很大
[00:43:57] 嗯大家嗯三以后他也不开源了
[00:43:59] 大家拿不到
[00:44:00] 很多研究人员就心里痒痒的说
[00:44:02] 我只能用
[00:44:03] 我不知道这里面到底是啥
[00:44:04] 我自己不能玩
[00:44:05] 所以我们开展了一个小的一个6B的版本
[00:44:07] 60亿参数的版本
[00:44:08] 一张这个家用的GPU就能跑起来
[00:44:11] 那大家就很爽了
[00:44:13] 所以那个时候那是我们第一款爆火的
[00:44:16] 在开源社区里面爆火的一个开源项目
[00:44:19] 下载量非常大
[00:44:21] 嗯非常大
[00:44:22] 同期好多大模型公司其实刚开始组建
[00:44:24] 你们就已经有产品了
[00:44:25] 那肯定是23年初嘛
[00:44:27] 嗯23年初嘛
[00:44:28] 大家看到HDB火了
[00:44:29] 很多人开始做从GPT3到chh bt open i的动作
[00:44:33] 有超出你们的预期吗
[00:44:35] 虽然你们一直都关注他
[00:44:36] 其实那个时候open a还是比较开放
[00:44:38] 呵呵还真的挺open的
[00:44:40] 很多东西他发论文啊
[00:44:42] 其实后来论文发的少了
[00:44:43] 但是他的比如technical report
[00:44:45] 还有一些呃他的blog啊什么之类的
[00:44:48] 其实会把这些东西都慢慢的放出来啊
[00:44:50] 其实我们就紧跟着他研究
[00:44:52] 包括那个时候我们在私底下的也很多交流
[00:44:54] 因为你有很多清华学生
[00:44:55] 当时我讲九个人里面有四个是清华
[00:44:58] 但是这个底下的交流还是非常顺畅的
[00:45:01] 就大概也知道他们在干嘛哦
[00:45:02] 包括拆JPT也是知道的
[00:45:04] 就这个产品要发布对知道
[00:45:05] 但是他那个项目本身产品本身保密的很很那个
[00:45:09] 但是我们很知道说
[00:45:10] 他们还在持续的在GP3之上呢
[00:45:12] 做很多事情在往那个方向去走
[00:45:14] 然后他的目的是是什么
[00:45:16] 最终的可能的形态是什么
[00:45:18] 对其实那个时候根本就不是太意外上这个东西
[00:45:23] 所以他上了这个东西之后
[00:45:24] 至少我个人是觉得就是说还是挺兴奋的
[00:45:28] 嗯挺兴奋的
[00:45:29] 因为觉得赌对了啊
[00:45:30] 对第一赌对了
[00:45:31] 第二就是说啊确实这条路走下去
[00:45:34] 他还是有很光明的这样一个前景
[00:45:36] 当时内部是什么状态啊
[00:45:37] 当柴之玉火了之后
[00:45:39] 质朴当时你们有什么讨论
[00:45:41] 有什么交流
[00:45:42] 是一个什么样的公司状态
[00:45:43] 其实大家我觉得跟我可能状态差不多
[00:45:45] 都是属于那种比较兴奋的状态
[00:45:47] 就觉得诶这事我们做对了
[00:45:49] 之前的那个赌注下对了
[00:45:51] 就是我们走了
[00:45:51] 这现在了
[00:45:52] 我们已经相对来说是比较靠近的
[00:45:55] 接近这个全GBT的这个事情
[00:45:57] 所以呃我们这个研研究团队
[00:45:59] 还有这个工程团队
[00:46:00] 春节那个春节是没没有没有休息的
[00:46:02] 然后就趁着gm这个版本把他推上线
[00:46:05] 嗯然后在小范围
[00:46:08] 当然这个一些原因不能让太大范围的去去去做
[00:46:11] 就小范围的让大家去使用
[00:46:13] 大家都很惊艳
[00:46:14] 22年到23年转年
[00:46:16] 是不是你们的生活发生了巨大的变化
[00:46:18] 是整个就是有点那种
[00:46:21] 嘿网上有个那个话叫10年干什么
[00:46:25] 什么无人知
[00:46:26] 一朝什么什么天下小
[00:46:27] 其实类似就是你之前其实做了很长一段时间
[00:46:31] 你想想我们从19年开始搞这个算法
[00:46:33] 20年自己研究这个算法
[00:46:34] 21年二二年把模型训练出来
[00:46:36] 然后把这东西想要商业化
[00:46:38] 想要去跟投资人聊说这东西未来的前景多么大
[00:46:41] 这两三年时间
[00:46:42] 其实是我们一直在努力在做这些事
[00:46:45] 而且也取得了一定的我们认为的一些成果
[00:46:48] 但是确实比较艰难
[00:46:49] 因为大家对这件事情的理解非常认知
[00:46:52] 非常浅
[00:46:53] 非常少
[00:46:53] 所以这个时候你就很难
[00:46:55] 而且大家对于AI1.0的四小龙已经去魅了
[00:46:59] 那个时候你说你要做第二代AI又怎么样呢
[00:47:02] 没错
[00:47:02] 他就把我们拿着跟你这样比
[00:47:04] 你跟他们有什么差别呢
[00:47:05] 然后我们只能回归到技术上来说
[00:47:08] 这本质上是有很大的差别的
[00:47:09] 但这种技术上的这种本质的差别
[00:47:12] 这种东西其实在市场来看离他们好像很远
[00:47:16] 他们那个时候还不太相信说像现在这样
[00:47:19] 研究和产业和和钱和市场用户之间会这么短
[00:47:25] 他们不相信这个
[00:47:26] 他们认为说诶你突破这个东西挺好的呀
[00:47:28] 5年以后再来找我吧
[00:47:29] 没想到这么快
[00:47:30] 但他没想到那么快
[00:47:31] 就大家这个认知还是惯性的在往前走
[00:47:33] 他不是一个革命性的一个看法
[00:47:35] 他不认为你是个革命
[00:47:36] 他只是认为你是个线性的一个线性外推
[00:47:39] 对对对对对
[00:47:39] 所以23年一转年就感觉浪来了对吧
[00:47:42] 一瞬间大家就一下子就热血上头啊
[00:47:45] 这个多么好的一件事情啊
[00:47:46] 怎么怎么着对吧
[00:47:48] 这个挺有意思的一件事
[00:47:49] 所以我们我个人反正在内心里一直很感谢我们
[00:47:52] 还做了很多事情
[00:47:53] 让我们觉得能借上这个利益
[00:47:55] 23年有什么印象深刻的事情吗
[00:47:57] 最印象深刻的就那几个字
[00:47:59] 百魔大战圈内的圈外的大家
[00:48:01] 因为之前你们来做这个事情还是很低调的对吧
[00:48:04] 就是关注的人很少
[00:48:05] 也无人问津
[00:48:06] 然后23年这变成一个市场的名牌了
[00:48:08] 是是是
[00:48:09] 老王也来了
[00:48:10] 然后一下大模型有六小龙
[00:48:13] 你看那个时候就熟识的人啊
[00:48:15] 很多熟识的人
[00:48:16] 小川儿
[00:48:17] 我师兄对吧
[00:48:18] 志玲从我们宣室出去的
[00:48:21] 然后对对
[00:48:22] 你看身边的很多人就啪啪啪啪分片分就跳进来
[00:48:25] 包括那个呃现在的硅基呃
[00:48:29] 后来袁金辉
[00:48:30] 袁金辉
[00:48:31] 袁老师我们也认识他很多年
[00:48:32] 他刚好他之前在光年之外联合创始人
[00:48:35] 被后人拉进来的嘛
[00:48:37] 你看这身边很多人都站到了里头
[00:48:40] 然后那个不认识
[00:48:41] 那就更多了
[00:48:42] 那就不用讲了
[00:48:43] 所以23年呐特别热闹
[00:48:46] 百魔大战对纷纷扰扰的特别热闹
[00:48:49] 是什么感觉呢
[00:48:50] 就是我们在这里已经做了好几年
[00:48:52] 你们现在突然之间一夜之间全来了
[00:48:55] 我觉得就两个就感觉上感受上就是两个感觉
[00:48:59] 第一个感觉呢就特别兴奋
[00:49:01] 就这个事迎来了一个很大的一个机会
[00:49:04] 有很大的一个浪潮
[00:49:05] 大家都不用再去教育
[00:49:07] 投资人也好
[00:49:08] 市场也好
[00:49:08] 什么也好
[00:49:10] 反正你做这个事情
[00:49:11] 大家一定哦知道我平常干这个事吧
[00:49:13] 行挺好的
[00:49:15] 然后第二个呢其实还是呃说实话
[00:49:18] 我个人来说还是有点焦虑
[00:49:20] 有点担心
[00:49:21] 因为每逢大浪过来
[00:49:24] 再往后看一点
[00:49:25] 就是可能就是一片狼藉
[00:49:27] 最后留不下些啥
[00:49:28] 嗯挺害怕这种状况
[00:49:30] 做最早不一定能留下
[00:49:31] 这个是焦虑的
[00:49:32] 我倒不是焦虑
[00:49:33] 这个我倒是我我我都对我们能留下
[00:49:35] 或者说我们能做出来这件事情
[00:49:37] 倒不是特别怀疑我怀疑
[00:49:40] 我怕的是整个这个市场有一个极端
[00:49:43] 走向另外一个极端之后
[00:49:45] 然后塌掉之后再很难回来
[00:49:48] 就烈火烹油之后
[00:49:49] 剩下的是啥
[00:49:51] 如果这个市场都没有了
[00:49:52] 你做的再好也没用
[00:49:53] 为啥市场会没有啊
[00:49:54] 嗯因为我们看到太多这种事情了
[00:49:56] 就大量的资本也好
[00:49:58] 人也好
[00:49:58] 进来团队
[00:49:59] 然后开始搞这件事情
[00:50:02] 然后各种各样的声音
[00:50:03] 各种各样的想法啊
[00:50:05] 新的老的旧的
[00:50:06] 然后各种各样的这个掺掺掺杂在里头
[00:50:09] 然后其实很多时候大家只知道说
[00:50:13] 这个事儿是个很好的事
[00:50:14] 但其实分辨不出
[00:50:16] 分辨不出这些里面这些这个百魔大战
[00:50:19] 大家的这个说的就信谁说的是对的
[00:50:21] 或者说谁说的是更接近真相的
[00:50:23] 谁说的是吹了一个故事
[00:50:24] 谁是吹了一个泡泡
[00:50:26] 这分辨不清的
[00:50:27] 今天看能分清吗
[00:50:29] 我觉得肯定有一天能分清
[00:50:30] 但现在还没有分清
[00:50:31] 我觉得还有一些很难分清的东西哦
[00:50:34] 呃这这就是它的魅力所在
[00:50:37] 但是他越来越聚焦
[00:50:39] 或者说收敛到他的真实性问题上
[00:50:42] 而不再有那么多的泡沫
[00:50:43] 或者说假象的东西在里头
[00:50:45] 现在回望23年
[00:50:46] 好神奇啊
[00:50:47] 对非常神奇
[00:50:48] 我也是很感慨
[00:50:49] 哎呦阿3年怎么过来的
[00:50:50] 我印象当中纷纷扰扰
[00:50:52] 23年就过去了
[00:50:53] 很快我唯一比较深刻的印象就是
[00:50:56] 23年我们全gm上线
[00:51:00] 8月份上线
[00:51:01] 然后还有一个印象是呃
[00:51:04] 那一年的WIC在上海开WICE
[00:51:07] 我去转了一圈那个展馆呃
[00:51:08] 有人后来数过
[00:51:09] 但是我没数过
[00:51:10] 有人数过
[00:51:11] 整个展馆里面跑完之后
[00:51:13] 基本上所有展台上因为是人工智能的嘛
[00:51:15] 在所有展台上都有大模型三个字
[00:51:17] 各种各样的大模型三个字
[00:51:18] 把他把所有的那个拍下来
[00:51:20] 贴在一起
[00:51:21] 巨长比每这么一条裂这么长
[00:51:24] 嗯挺好玩的
[00:51:25] 我也去转了一圈
[00:51:26] 我就发现大模型绝对就是
[00:51:28] 但大家讲的故事或者说的事情就千奇百怪
[00:51:32] 各种各样的事情
[00:51:32] 你觉得很离谱的是什么呢
[00:51:34] 我倒没觉得有什么特别离谱的
[00:51:36] 我倒是也看到很多很新奇的
[00:51:38] 有些东西我没想到的
[00:51:39] 我自己也吸收到很多的东西
[00:51:41] 其实那个时候我觉得是23年
[00:51:44] 大家最在大模型本身这件事情上争论的事情
[00:51:48] 不再说大模型本身有没有用
[00:51:50] 而在于针对一个事情叫垂直模型
[00:51:53] 通用模型和垂直模型对
[00:51:55] 这是23年大家经常会聊的人
[00:51:57] 对每逢我去跟大家聊什么事情的时候
[00:52:00] 会参加什么会
[00:52:01] 大家都会问的问题嗯
[00:52:03] 但你到今天来看这个事情
[00:52:05] 就你会发现当时聊了这个问题
[00:52:08] 它其实就是个伪命题
[00:52:10] 嗯到今天来看
[00:52:11] 你所谓的垂直模型
[00:52:13] 根本就在市面上没有什么生意
[00:52:15] 嗯不管是研究也好
[00:52:17] 还是呃产业应用也好
[00:52:20] 其实都没什么声音
[00:52:22] 他就证明那个时候所谓垂直模型这个事情
[00:52:25] 它里边被人加了一些佐料
[00:52:28] 佐料对出现的东西
[00:52:30] 当时23年我印象很深的是几个事儿
[00:52:32] 就是老王发了一个英雄帖
[00:52:34] 然后那个投资圈和那个大模型圈里边
[00:52:37] 还是非常有名的一件事情
[00:52:38] 对然后包括王小川也入局了
[00:52:40] 小川对你当时看到这些就是非常成功的企业家
[00:52:44] ARS创业
[00:52:44] 然后来抢你们
[00:52:46] 就是本来已经生根就做了好几年的
[00:52:48] 这个事的时候
[00:52:49] 你当时在想什么呀
[00:52:50] 你会担心在商业上竞争不过他们吗
[00:52:52] 我倒没觉得这个事情
[00:52:54] 因为首先第一个我们做了这么长时间
[00:52:56] 对这个事儿认知还是比较深的
[00:52:57] 虽然HGBT火了
[00:52:59] 但其实我是觉得他要走的路还挺长
[00:53:03] 没那么快
[00:53:04] 没那么容易哦
[00:53:05] 其实我是欢迎像小川师兄
[00:53:08] 还有慧慧这些呃
[00:53:10] 霍尔也是师兄啊
[00:53:11] 他就比我们稍微大一点哦
[00:53:13] 对呃欢迎这些有实力也成功过的人
[00:53:17] 或者有经验的人入这个局来一起做这个事情
[00:53:20] 因为我一直也相信
[00:53:22] 首先第一这个事情还没到那么快见终局
[00:53:25] 大家那个时候有点预期过于乐观
[00:53:27] 对你当时觉得要多久能见中局啊
[00:53:30] 我不知道
[00:53:30] 当时我确实也不知道多久能建这个中局
[00:53:33] 我的直觉告诉我说
[00:53:34] 这个事情没那么容易
[00:53:35] 没那么快能见这个中局还需要时间
[00:53:38] 因为这个技术研究了之后
[00:53:40] 你会发现里面其实还有很多问题你没有解掉
[00:53:43] 没有解决掉
[00:53:43] 那时候最棘手的是什么
[00:53:45] 23年二三年的时候
[00:53:47] 你从技术上吗
[00:53:47] 嗯其实技术上我觉得还是模型的
[00:53:50] 能力还是不太够
[00:53:52] 就他只能当一个check bot
[00:53:54] 但显然光当cheat boort是不行的呀
[00:53:57] 对不对
[00:53:58] 很简单
[00:53:58] 我们原来能做的就是
[00:53:59] 比如说像情报的分析这种事情
[00:54:02] 它需要你预测
[00:54:03] 需要你做逻辑分析
[00:54:04] 需要你询证
[00:54:05] 需要很多东西
[00:54:06] 这些东西都没解啊
[00:54:08] 都没剪
[00:54:09] 你除了那俩聊个天
[00:54:10] 你还能干嘛
[00:54:11] 你敢问他说我今天哪儿哪儿不舒服
[00:54:14] 你你给我推个药
[00:54:15] 你敢吗
[00:54:15] 你肯定也不敢对吧
[00:54:16] 就算他说了
[00:54:17] 你也不敢用
[00:54:18] 所以这其实里面还有很多很多的问题去解决
[00:54:20] 真的要应用起来是个很长的路
[00:54:24] 而且我也相信说这件事他并不是说呃
[00:54:27] 靠某一家或者某一个团队或某一个人
[00:54:31] 他能解决的问题
[00:54:34] 我相信还有很多问题没有发现嗯
[00:54:36] 那应该它就是一个很open的问题
[00:54:38] 大家一起来做这件事
[00:54:39] 如果大家都统一了这个认知来做这个事情
[00:54:42] 这是个好事
[00:54:43] 共同推动这件事情
[00:54:44] 最终能更快的向AGI这个目标去靠拢
[00:54:47] 我觉得这很好的事情
[00:54:49] 所以我跟小川也因为那个时候也在在这边嘛
[00:54:53] 就很近
[00:54:54] 经常偶尔在楼底下
[00:54:55] 所以经常在楼底下碰面
[00:54:56] 他有习惯
[00:54:58] 他经常思考的时候
[00:54:59] 他有习惯
[00:54:59] 我知道他经常下去
[00:55:01] 在我们的科技园底下有一个开放的一个广场嘛
[00:55:03] 上面有那个长凳
[00:55:04] 他会盘着腿坐在那想问题
[00:55:06] 就拿一个跟你这样的pad跟他还想问题
[00:55:09] 我有时候下去时买咖啡什么碰到他
[00:55:11] 我们就可以聊两句
[00:55:12] 我记得有一次我在机场的摆渡车上
[00:55:15] 跟他通过一个电话
[00:55:17] 关于这个事情的
[00:55:18] 他说诶
[00:55:19] 前两天看
[00:55:19] 你跟华为这个那个活动上讲了这个问题
[00:55:23] 说这个模型应该分为L0L1L二什么
[00:55:26] 这当然这个概念是这个叫法是华为提出来嗯
[00:55:30] 但是我是觉得有点他的道理
[00:55:33] 就L0是基座
[00:55:35] L1呢是专业化的特殊化的
[00:55:38] 然后L2是应用层的东西
[00:55:40] 然后呢
[00:55:41] L1的接近我们说的所谓的叫垂直模型这个事
[00:55:44] 然后小川就就给我打电话
[00:55:46] 意思说诶就是说这个挺好的
[00:55:48] 我们大家一应该大家一起达成一个共识
[00:55:50] 是像周边的整个行业
[00:55:53] 整个这个市场去推广这个概念
[00:55:55] 这是他打电话跟我说的这个事情
