[00:00:01] 想象一个鱼缸嘛
[00:24:12] 比如说SFT为重点的这样的研发方式
[00:24:17] 转变成
[00:24:18] 就是说以预训练和强化学习为重点的这个方式
[00:24:21] 然后我觉得这个其实你就需要做很多的
[00:24:24] 不管是人才的储备
[00:24:26] 还是说研发方式的改变对
[00:24:28] 然后可能还有就是说可能从对话到agent
[00:24:32] 我觉得是一个重要的范式的改变
[00:24:34] 然后这个东西
[00:24:35] 它会很影响我们的实际的工作方式吧
[00:24:39] 我我觉得这啊
[00:24:40] 这是这两个是可能比较啊重要的方向上的变化
[00:24:46] 过去半年你们推出了K1.5和K2吗
[00:24:49] 这个分别啊对于KI意味着什么
[00:24:52] 我觉得K1.5更多的是可能是强化学习
[00:24:55] 这个技术的验证
[00:24:56] 就是我们党外是吗
[00:24:57] 对对对
[00:24:58] 我们可能是也是比比较早
[00:25:00] 去在这个技术路线上去做投入
[00:25:02] 然后可能呃得到一些结果
[00:25:06] 看背后的技术到底怎么做
[00:25:07] 就是当时我们发现说你可能不太需要太多的process
[00:25:12] Reward
[00:25:13] 或者这种比如value function啊
[00:25:16] 你你你啊
[00:25:18] 或者甚至在甚至这种就是可能在训练过程中
[00:25:20] 还有一些副作用对吧
[00:25:21] 就我们发现就是你可能直接用端到端的这个呃
[00:25:25] 这个reward就你可以把这个训练的非常好
[00:25:29] 我我觉得这个在早期
[00:25:31] 其实可能还是并不是非常明确的
[00:25:33] 然后在这个过程中
[00:25:34] 我们可能是积累了一些强化学习的基建
[00:25:38] 还有他的这个呃一些算法的一些NO号K2的
[00:25:42] 主要的点我觉得是几个
[00:25:44] 一个是说我们希望它是一个非常好的基础模型
[00:25:49] 希望它是一个非常好的base model
[00:25:50] 所以那如果你想有一个更好的base model
[00:25:54] 我们就要去看现在
[00:25:56] 比如说整个领域它的预训练的瓶颈是在哪里
[00:26:01] 然后我们发现就是嗯
[00:26:04] 因为你其实高质量数据的增长确实很缓慢嘛
[00:26:09] 然后多模态的数据你又没有办法很好的去提升
[00:26:12] 文本本身
[00:26:13] 他那个智商你可以认为就是高质量数据
[00:26:16] 它是太有点接近
[00:26:17] 是一个常数
[00:26:19] 所以在这里面我们希望的是说
[00:26:21] 我们希望把每一份的数据能够最大化的使用
[00:26:27] 就是你希望说你啊你同样吃下一样多的数据
[00:26:33] 你能脑子长得更多
[00:26:34] 就是你能得到更多的智能
[00:26:36] 会跟之前有一些思路不太一样
[00:26:38] 就是说比如比如说你现在假设
[00:26:39] 你在这个训练系统里面
[00:26:41] 做很多的这个性能的优化对吧
[00:26:43] 你让他训的更快啊
[00:26:45] 这个东西也很有价值
[00:26:46] 但是呃训练更快本身它并不能提升智能的上限
[00:26:50] 因为你的你的token还是只有这么多
[00:26:52] 你训的更快
[00:26:53] 你最后只是说我在更短的时间内完成这个训练
[00:26:56] 但它它的模型的效果并不一定会变得更好啊
[00:26:59] 所以这个是所谓的训练效率
[00:27:04] 这个可能之前有有一些人做
[00:27:05] 那我们现在更多的是希望说去提升他的token
[00:27:09] 就是把一份数据当成好几份来用
[00:27:11] 比如说我所以我们很关注的
[00:27:13] 像比如说MION的优化器
[00:27:15] 没有优化器
[00:27:16] 就是这个东西它很有意思
[00:27:21] 你可以认为就是说像ADAM这样的优化器
[00:27:24] 可能已经用了10年
[00:27:26] 然后大家一直都在用所有美
[00:27:28] 就是大部分的模型都会用ADAM来训练啊
[00:27:35] 所以就是没有并不是把每个元素独立的去考虑
[00:27:37] 比如说一个矩阵的参数
[00:27:39] 它会就是考虑它们之间的dependency
[00:27:42] 然后通过这种方式
[00:27:43] 你你其实是可以更好的额有更好的学习效率
[00:27:48] 也就是说你你你学同样一份数据
[00:27:50] 你能得到更多的智能
[00:27:51] 比如在我们早期的实验
[00:27:52] 如果你是在computer optimal的情况下啊
[00:27:55] 也基本上会有一个两倍的提升
[00:27:59] 对
[00:27:59] 也就是说你学一份数据就等于别人学两份数据
[00:28:05] 等于你用ADAM学两份数据
[00:28:06] 所以假设你有30T的高质量的token
[00:28:10] 那你等价就是变成
[00:28:11] 你现在有60T的高质量的token
[00:28:13] 但他还是那么多数据啊
[00:28:15] 对对对
[00:28:15] 但是他学了之后
[00:28:16] 他会他的脑子会长的更快
[00:28:19] 为什么呢
[00:28:19] 对就因为他的学习效率高啊
[00:28:21] 因为你的优化器更好
[00:28:22] 就是所以它会它它所谓就是它会吸收的更快
[00:28:25] 就是你都是为一样多的数据
[00:28:28] 但是它就吸收的更好
[00:28:29] 所以你的压缩率会会涨的更快
[00:28:32] 你的loss会降的更快
[00:28:34] OK对
[00:28:34] 这是原创吗
[00:28:35] 没有优化器
[00:28:36] 没有优化器是开了呃
[00:28:38] 提出来的一个东西
[00:28:40] 我们在上面做了很多的优化
[00:28:42] 让他能够在很大规模的这个
[00:28:46] 语言模型去适配和训练
[00:28:48] 比如说呃我们之前其实有一个moonlight的工作
[00:28:52] 就是让他能够第一次
[00:28:53] 在有一定规模的语言模型下去训练
[00:28:57] 然后再后来就是说我们那个再去进
[00:29:00] 进一步规模化的过程中
[00:29:01] 我发现有很多新的坑
[00:29:03] 比如说啊
[00:29:05] 你发现他的max logic
[00:29:06] 可能会有这个爆炸的这个问题
[00:29:08] 这个其实在小规模实验上你是很难得到对
[00:29:12] 但是你在大规模实上
[00:29:13] 你可能会会遇到这样的问题
[00:29:14] 然后可能我们就提出来一些新的
[00:29:16] 比如说clipping的方式去呃
[00:29:19] 去去解它
[00:29:20] 让它能够在一个非常大规模的情况下
[00:29:25] 仍然能够很好的去训练
[00:29:26] 这个是很重要的
[00:29:27] 就是就是因为你的token数量有限
[00:29:30] 所以你希望每一份token能能产生啊
[00:29:33] 可能更大的价值吧
[00:29:34] 对
[00:29:35] 然后包括就是说我们也会对数据做很多的这种
[00:29:38] 呃rephrase的操作
[00:29:39] 就是啊因为给高质量的数据
[00:29:42] 你比如说你有30t token
[00:29:43] NS10里面高质量的数据可能更少对吧
[00:29:46] 你可能也有几十币或者几百币这样很高
[00:29:50] 这样的数据
[00:29:50] 但你希望它能更好的使用
[00:29:52] 嗯嗯对
[00:29:53] 所以我们就是对这些数据
[00:29:55] 可能做了一些改写的操作
[00:29:57] 让它能够更好的被模型吸收和有更好的泛化
[00:30:01] 对我读了你们这个技术报告
[00:30:03] 你们尝试已有模型改写现有数据
[00:30:04] 生成新的语料嘛
[00:30:05] 那具体的改写过程是什么样的
[00:30:07] 改写策略是什么样
[00:30:08] 这个其实你没有提
[00:30:09] 如如果你同一份数据学很多次
[00:30:11] 他可能他可能泛化不一定那么好
[00:30:13] 对
[00:30:14] 就是他他可能会有一些这个呃
[00:30:18] 会会有一些过拟合的问题
[00:30:20] 对然后所以我们希望就是说你你通过这个改写
[00:30:23] 让他有一定有一定程度的泛化改写
[00:30:26] 有一定程度范化嗯
[00:30:27] 对对对
[00:30:28] 所以所以所以所以这个可能是啊
[00:30:31] 一个一个主要的思想
[00:30:33] 反正这具体改写的方式可能会有非常多种
[00:30:35] 就是我们可能找到一种
[00:30:37] 就是说在实验里面它效果比较好的
[00:30:39] 但觉得这个空间也很大
[00:30:40] 就是我觉得可以有非常多的研究的啊机会诶
[00:30:45] 你怎么看待一种观点
[00:30:46] 就说改写和扩充其实没用
[00:30:47] 能够写出来知识
[00:30:48] 说明知识本身就在里面
[00:30:49] 没有新知识
[00:30:50] 除非改写的时候用到其他方法
[00:30:52] 这个是一个很好的问题
[00:30:53] 就是可能确实跟你的改写方式也有关系
[00:30:56] 理论上就是看你有没有新的这个商的这个输入
[00:30:59] 新的商的输入嗯
[00:31:00] 对对对
[00:31:01] 所以所以我觉得这个他对改写的方式
[00:31:03] 是有一些要求对
[00:31:05] 但但我觉得我们今天也不一定是
[00:31:06] 就说一定是最好的改写方式
[00:31:08] 就是我我觉得这里面还有很多
[00:31:09] 可以去探索的空间
[00:31:11] 大家回到刚刚讲的点
[00:31:12] 就是我们说这个KK2这个模型
[00:31:15] 我觉得一方面是希望他成为一个好的base model
[00:31:18] 然后所以我们也会很希望去提升他的token
[00:31:21] Fficiency
[00:31:22] 就这些是我们可能对应的设计
[00:31:24] 包括就是去加更多的这个通过更大的系数度
[00:31:28] 去加更多的参数
[00:31:31] 因为因为你参数多了之后
[00:31:32] 你虽然学一样多的数据
[00:31:34] 但是你你你也会吸收啊
[00:31:37] 就是你会吸收的更好
[00:31:39] 因为因为你有更大的这个对
[00:31:42] 就反正你通过实验
[00:31:45] 然后所以所以这个是很重要
[00:31:47] 然后第二个就是我们希望它是一个好的
[00:31:49] 有好的IJTIC的能力
[00:31:51] 对强化学习
[00:31:52] 或者说对于这个工具和环境的这个模拟
[00:31:55] 让他能有比较好的泛化性
[00:31:57] 就是我我是觉得对于对于一个IGETIC模型来讲
[00:32:01] 可能现在最大的挑战其实是在模型的泛化上对
[00:32:05] 就是就是因为现在的IO技术
[00:32:08] 我觉得它的局限性在于说
[00:32:14] 但很多时候都是单点的
[00:32:15] 比如说你就训思维bench
[00:32:16] 他要提升SWEBENCH
[00:32:17] 然后就是我觉得他是一个基本上很确定的东西
[00:32:20] 但是但是你的指标提升上去之后
[00:32:23] 并不意味着你的模型的饭后会变得更好对
[00:32:25] 然后所以我们也尝试去
[00:32:27] 可能解决一部分这种泛化的问题吧
[00:32:31] 就是就是就是我们不希望说
[00:32:34] 它过拟合到某些工具
[00:32:36] 或者过拟合到某些环境
[00:32:37] 或者过拟合到某一些具体的任务上
[00:32:41] 对
[00:32:41] 但这些任务可能是很好的观测
[00:32:42] 但是我们不希望去呃过你和他
[00:32:45] 而且这个问题可能在agent的训练里面他更加严重
[00:32:50] 就是相比于可能之前的对话模型
[00:32:52] 他的好像他的这个范化是一个更大的挑战
[00:32:56] 为什么不在里面去选我
[00:32:58] 我觉得这个也是接下来我们想探索的东西对
[00:33:00] 就是你有可能会有一些更多的IJC能力
[00:33:04] 是可以在预训练阶段去
[00:33:07] 这可能提高泛化性
[00:33:08] 也取决于你的这个取决于你的做法
[00:33:11] 就是取决于这个数
[00:33:13] 比如说你的数据的分布是不是足够的广泛
[00:33:16] 以及就是有没有很好的方法去评估
[00:33:19] 就是我认为现在整体的评估还还会是一个瓶颈
[00:33:22] 就是就是它是阻碍你的A证模型变得更加泛化
[00:33:27] 的一个很重要的瓶颈
[00:33:29] 所以你会慢慢观察到
[00:33:31] 就是说你现在其实A证能能用的
[00:33:33] benchmark不是非常多
[00:33:34] 然后你你在那bench Mark上如果观察到一个分数
[00:33:37] 他其实很多时候他并不是对这个能力的反应
[00:33:41] 他其实也比较片面
[00:33:43] 这个其实我觉得是可能大家要去想办法解决的
[00:33:46] 一个问题
[00:33:47] 这里面可能有一种潜在的思路
[00:33:48] 就是说我们还是用更AI native的方式去训练AI
[00:33:52] 就是说
[00:33:53] 可能我们希望让模型
[00:33:55] 参与到更多的训练过程里面
[00:33:58] 就是因为这样比
[00:33:59] 比如说如果你的AI能够做很好的alignment research
[00:34:02] 能能够做很好的对齐研究
[00:34:05] 理论上它可能会有更好的泛化啊
[00:34:08] 你就不仅仅只是在优化一些单点的任务
[00:34:10] 我我觉得这个是A神
[00:34:11] 下一步可能非常重要的一个点
[00:34:13] 就是他今天可能还不像对话一样
[00:34:15] 有这么好的泛化性啊
[00:34:17] 对
[00:34:18] 这可能会是接下来
[00:34:19] 可能这雪山上的这个几百个台阶
[00:34:22] 也有可能是这个天才K1.5是跟着open app跑
[00:34:25] 然后k two是在抢跑是吗
[00:34:27] 我我觉得整体就是说肯定
[00:34:29] 我们还是也是借鉴了很多技术上的这个方向
[00:34:33] 但是在这里面我们也希望能有一些自己的创新
[00:34:36] 比如说至少我们可能是公开的
[00:34:38] 所有能看到的资料里面
[00:34:40] 就是说第一个去使用这种非ADAM的
[00:34:43] 或者说基于这种矩阵正交化的方式
[00:34:45] 去做这个新的优化器
[00:34:46] 然后在这么大规模的模型上去训练啊
[00:34:49] 我觉得这个还是一个创新的地方
[00:34:51] 然后包括可能我们一些A证数据的做法啊
[00:34:55] 至少在公开可查的资料里面
[00:34:57] 也是也是比较早去做的对
[00:34:59] 因为我觉得这空间会有越来越大
[00:35:01] 就是当就很有意思
[00:35:03] 就是说当你的越往上爬的时候
[00:35:05] 你发现就是你的你的空间是在变大
[00:35:07] 首先他token在变多嘛
[00:35:08] 你完成同一个任务的token是在变多的
[00:35:11] 所以他的问题的复杂度是变得更复杂
[00:35:14] 就像刚刚讲的
[00:35:15] 就是问题不可避免
[00:35:17] 但是问题总可以被解决
[00:35:19] 就是说你这个不可避免的问题
[00:35:21] 看起来会比之前可能更多一些
[00:35:23] 所以你的研究空间可能会更大
[00:35:25] 对这是我现在的一些直观的一个感受吧
[00:35:29] K2是怎么理想的
[00:35:30] 筹备了多长时间
[00:35:31] 筹备可能比较长时间了
[00:35:34] 就是也很多
[00:35:36] 这里面很多涉及到很多技术
[00:35:38] 可能我们从去年就开始在研究一个一个技术
[00:35:41] 就比如说你像民用clip这样的技术
[00:35:43] 它需要经过一个比较长的周期
[00:35:46] 你一开始可能就是做一些非常早期的实验
[00:35:51] 然后你发现这个想法好像有一些潜力对吧
[00:35:53] 就我们会有一些小的实验
[00:35:55] 能够去验证这个想法的潜力到底有多好
[00:35:58] 你你有这个想法之后
[00:35:59] 他其实到你最后能够去把它放到一个
[00:36:01] 万亿模型里面去训练
[00:36:03] 他只要经过很长的周期
[00:36:05] 你你要通过不同的scaling实验
[00:36:07] 去验证它的有效性
[00:36:09] 然后像我说的就是可能有些问题
[00:36:11] 你只有当你scale到一定的规模之后才会发现
[00:36:14] 所以整个东西这个周期其实是比较长
[00:36:17] 但是就如果你看你你只看这个模型本身
[00:36:21] 它的他这个训练
[00:36:22] 从开始按下那个训练的按钮到结束
[00:36:25] 但其实时间倒没有那么长了
[00:36:27] 但是但是你整体的研发其实是需要更前置
[00:36:30] 做很多事情
[00:36:31] 才能
[00:36:32] 最后保证你这个训练是一个比较顺利的过程啊
[00:36:36] 整起l l arm这个的BS是什么时候开始的
[00:36:40] 也要做很多的积累啊
[00:36:41] 对就是可能像啊
[00:36:44] 大家只是说你不同时间点的做法
[00:36:47] 可能会不太一样
[00:36:48] 比比如说你一开始可能并不一定
[00:36:50] 非常端到端的去做
[00:36:51] 但是可能你积累一些环境和数据
[00:36:53] 但你到后面可以更端到端的去做强化学习
[00:36:56] 那你中间需要很多基建
[00:36:57] 还有很多这个数据额的的积累的过程
[00:37:01] 但这个东西他肯定很难说
[00:37:03] 你一两个月做的非常好
[00:37:05] 也也是需要时间积累的
[00:37:07] 就我整体觉得
[00:37:08] 就是像大模型或者相关的这些技术
[00:37:12] 他的他是挺需要时间积累的
[00:37:15] 就是还是还是要做时间朋友吧
[00:37:17] 就是就是你要不断积累这个东西
[00:37:20] 然后它是相对
[00:37:21] 我觉得技术的曲线是还是有点陡峭的
[00:37:24] 就但并不是说我我今天想做就能把它做出来
[00:37:28] 所以什么时候立项的
[00:37:29] 就首先我们可能去积累这些技术
[00:37:32] 然后也想呃呃不就是一年前开始积累各种技术
[00:37:35] 我觉得对
[00:37:36] 然后但是你说K2这个东西肯定是
[00:37:38] 那就是最近几个月
[00:37:39] 我们决决定要去训一个这样的模型
[00:37:42] 然后把哪些技术用上
[00:37:44] 我觉得大概是这样的一个决策
[00:37:45] 但是你你不是说我今天想训练这个模型也OK
[00:37:47] 然后我再从零去搞很多东西
[00:37:49] 那他可能就不是223个月能解决的问题
[00:37:52] 为什么立这个价呃
[00:37:55] 我觉得也很正常
[00:37:56] 因为我们就一直训练下一代模型嘛
[00:37:58] 那你其实无非就是决策
[00:38:00] 就是哎我下一代模型到底是嗯
[00:38:02] 我到底是要加入哪些哪些技术
[00:38:05] 然后你期待他是一个什么样的模型
[00:38:06] 就跟现在我们也会去考虑我们这k two之后
[00:38:09] 下一代模型到底长什么样对吧
[00:38:11] 这个是一个持续要思考的和决策的问题
[00:38:14] 然后你可能每次就是看哦
[00:38:16] 现在你工具箱里面其实A又多了很多新的东西
[00:38:18] 那你到底要哪把哪些东西拿出来用
[00:38:21] 就是就是有一个这样的过程诶
[00:38:23] 那你们做研究和做训练的团队是分开的吗
[00:38:26] 就他他们是一个什么样的过程
[00:38:28] 就是嗯
[00:38:29] 因为一年前就已经开始研究这些技术了嘛
[00:38:31] 那到正式训练
[00:38:32] 这是一个团队在做这件事情吗
[00:38:34] 对对其实是一个团队在做对
[00:38:37] 就是因为因为这些东西它很难分开嘛
[00:38:39] 就是比如说你你你在实际训练过程中
[00:38:43] 你会遇到这个问题
[00:38:43] 如果你之前都不了解
[00:38:45] 你没有办法去解决它啊
[00:38:47] 所以实际上这两个并不会分开
[00:38:49] 黑度过程中有遇到什么挑战没有呃
[00:38:52] 就是我们遇到就是那个MON
[00:38:54] 你去训的时候
[00:38:55] 它就会炸
[00:38:56] 这就就是我们那我们那个都有画一些图
[00:38:59] 在那个paper里面
[00:39:00] 就是说嗯你那max logy就会长得非常高
[00:39:02] 然后就是我们认为这个东西
[00:39:05] 对训练的稳定性有影响
[00:39:07] 你你你你可能训久了
[00:39:09] 他很多这所谓的这个内科指标不正常的话
[00:39:12] 其实对模型的上限是有害的
[00:39:15] 嗯对
[00:39:16] 然后我们就是说等于是我又回过头去revisit呃
[00:39:21] 去重新看这个问题
[00:39:22] 然后去去修复它
[00:39:24] 就因为这个东西是你在小规模实验上
[00:39:27] 没有办法预测了
[00:39:28] 因为小规模上我们没法复现这个结果
[00:39:30] 等一下他他就是不会有这个爆炸的问题
[00:39:34] 然后其他的基本还好
[00:39:35] 因为其他的我们都在小规模上做了很多实验
[00:39:39] 然后他基本上也是可以迁移的
[00:39:41] 所以问题就不是很大
[00:39:42] 就唯一有这个事
[00:39:44] 你小规模上验证不了
[00:39:45] 所以你需要在scale过程中再去临时去解决诶
[00:39:48] 你在K2训练过程中最重要的几个弄号是什么
[00:39:51] 这个NO ho我就写在paper里了
[00:39:53] 就是我们都很open的
[00:39:54] 就是主要的东西写在paper里面
[00:39:57] 因为我们还是想跟更多的跟社区去分享
[00:40:00] 对我很好奇你你会怎么定义A证
[00:40:03] 以及怎么对A证进行分类
[00:40:04] 好问题
[00:40:05] 这就是其实像我刚说的
[00:40:06] 就是它可能是一个就是从一个缸中之脑
[00:40:10] 变成可以跟世界交互
[00:40:11] 因为所谓A层
[00:40:12] 它其实就是最重要的特征
[00:40:13] 就是它可以去多人的使用工具
[00:40:15] 就他我觉得两个一个就是一个是多轮
[00:40:18] 一个是工具
[00:40:19] 多轮就是你能做很多次啊
[00:40:21] 这是一种test time skating的方式
[00:40:23] 然后工具就是
[00:40:24] 其实你是连接这个脑跟外部世界的一个方式啊
[00:40:28] 比如说你用搜索引擎
[00:40:29] 那你就你就可以把这个模型跟整个互联网
[00:40:33] 连接起来
[00:40:34] 然后你如果呃就是你你可以写代码
[00:40:38] 那你就可以把这个脑跟这个数字
[00:40:41] 因为这个数就数字世界
[00:40:43] 基本所有自动化都都可以用代码描述嘛
[00:40:45] 那那你你就可以让他拥有这种自动化的能力
[00:40:49] 所以我觉得这两个是我想象中
[00:40:52] 可能这个agent的特征
[00:40:53] 那你接下来就会会有更越来越多的工具对吧
[00:40:56] 那你你会有长尾的一个分布吧
[00:40:58] 就是啊这个模型如果泛化的好的话
[00:41:01] 它就不只是使用一些常见的工具
[00:41:04] 它可能可以使用非常个性化的工具
[00:41:07] 比如说好
[00:41:08] 假设你今天要有一个呃就是非常具体问题
[00:41:13] 比如说你想让这个模型能够访问
[00:41:15] 公司内部的一些数据库
[00:41:17] 或者你个人的一些文档啊
[00:41:19] 然后能够甚至是访问一些这个定制的API
[00:41:23] 让他能完成某些业务的操作
[00:41:25] 比如说去退票啊
[00:41:26] 或者就是去下一个订单啊
[00:41:28] 这种就是他应该是能够泛化到
[00:41:31] 他没有见过的工具上对然后所以我一直在想
[00:41:35] 如果说我觉得agent
[00:41:36] 现在可能最缺的其实是这种泛化的能力
[00:41:38] 但如果你有更好的泛化的话
[00:41:40] 那其实所谓的
[00:41:41] 比如说之前大家在讨论各种垂直的agent
[00:41:44] 他可能就不一定非常需要
[00:41:46] 就是因为当你你这个通用的A证
[00:41:48] 它能去泛化到长尾的工具上
[00:41:50] 那基本上你很多呃领域专有的问题
[00:41:54] 但是可以直接用这些工具去解决的
[00:41:56] 你只是每次给它加不同的工具
[00:41:58] 比如就像我说的
[00:41:59] 你加你可能这个定制的数据库
[00:42:01] 定制的API
[00:42:03] 定制的这些文档的接口什么
[00:42:05] 你就可以完成一个非常垂直的一个一个A证嗯
[00:42:08] 对他的这个啊普适性就会强很多
[00:42:12] 然后多轮主要是你可以做test time skating
[00:42:14] 就是你可以做很复杂的任务
[00:42:16] 不只是只是做一次
[00:42:17] 就像对话模型一样
[00:42:19] 我就只是输出了一轮对吧
[00:42:21] 但他现在是可以做不同的事情
[00:42:22] 就跟人一样
[00:42:23] 就是人每天的工作
[00:42:24] 其实就是
[00:42:25] 你可以认为他就是一个多轮使用工具的序列嘛
[00:42:28] 本质上你是你是希望把人的这个序列给它
[00:42:32] 拟合进去
[00:42:33] 但你又收集不到这样的数字化数据的话
[00:42:36] 那你就可以用强化学习来构造对
[00:42:38] 就就是它本质上是在模拟人的行为
[00:42:41] 但他他也是一个很通用的
[00:42:43] 他是一个对
[00:42:45] 你也不能说这样模拟人
[00:42:46] 对这样模拟人的行为可能不太准确
[00:42:48] 就是因为他他只是个通用的
[00:42:50] 就是什么叫通用的
[00:42:52] 所以不是模拟人
[00:42:53] 人也很通用
[00:42:53] 对就对人也是人也是通用人
[00:42:56] 人是一个所谓的universal constructor
[00:42:58] 就他的主要目的不是去模拟人
[00:43:00] 它主要目的是通用
[00:43:02] 就是说他这个这个形式化
[00:43:04] 就是这个这个这个定义本身它是通用
[00:43:06] 它可以完成几乎所有的任务啊啊对
[00:43:10] 所以这个这个可能才是这个设计的目的
[00:43:12] 就是说它跟人的做法类似
[00:43:14] 这只可能只是一个只是一个刚好的结果
[00:43:18] 并不是说设计这个系统的目的啊
[00:43:20] 就是设计飞机是为了能够呃当做一个交通工具
[00:43:24] 它并不是为了像鸟一样能飞
[00:43:25] 对
[00:43:26] 所以你我们有这个agent的系统
[00:43:28] 它更多的是通用general purpose的一个智能
[00:43:32] 就是你是跟这个目标对齐的
[00:43:34] 但他刚好跟人是一样的
[00:43:36] 刚好跟人是相似的
[00:43:38] 怎么提高通用性
[00:43:39] 有他知道什么方法没有
[00:43:41] 对
[00:43:41] 我觉得这也是一个很难的问题
[00:43:43] 就是我觉得今天A证的泛化有一个风险
[00:43:46] 就是会会陷入到可能有一些best chmark的
[00:43:49] 这个过拟合里面
[00:43:50] 但是但是现在有可能缺少很好的benchmark
[00:43:53] 所以我我觉得这个会是接下来的挑战
[00:43:55] 但我觉得可能有一些解法
[00:43:57] 就是如果我还是觉得
[00:43:59] 如果能用更多的用AI去训练AI嗯
[00:44:02] 那一定程度上缓解这个问题
[00:44:04] 什么时候能做到用AI训练AI
[00:44:05] 现在的瓶颈是什么
[00:44:06] 呃现在其实已经有一部分你是可以这样做
[00:44:09] 但是就是你希望他有更多的这样去做对
[00:44:13] 就是因为现在很多还是要靠人的设计
[00:44:16] 你设计得到innovate那个阶段了
[00:44:18] 所以这很有意思
[00:44:19] 就是说他其实有可能不是线性
[00:44:20] 你你要用一些innovation的方式去解决
[00:44:24] 你的A证问题对
[00:44:25] 因为今天你的A证算不够
[00:44:27] 所以你要用innovation的方式解决它
[00:44:29] 就是你用L4的技术去解决一个L3
[00:44:31] 所以所以我觉得L1到L5这个定义
[00:44:33] 有可能他真的不是线性的对
[00:44:36] 就是又回到刚刚说的那个点
[00:44:37] 就是你没有这个很好的innovation
[00:44:41] 没有用AI去训练或者AI对齐AI的方式的话
[00:44:44] 他可能他可能这个agent他就是很难做到
[00:44:47] 特别好的范化
[00:44:48] 比如你今天发现就是你人工定义了一些task
[00:44:50] 然后你就fit那个task
[00:44:52] 但是你在别的你可能看不见的task上
[00:44:54] 他就不可能有可能表现没有那么好
[00:44:57] 然后但是你只你只fit那些task
[00:45:00] 你就只只刷那几个task分
[00:45:01] 其实很多时候
[00:45:03] 用户或者说你在一些更OOD的场景里面
[00:45:06] 它的体感就是没有那么好
[00:45:07] 我我是觉得现在这个领域确实面临
[00:45:09] 就是可能这个benchmark不够用或者benchmark失效
[00:45:12] 然后嗯就A证的泛化有问题
[00:45:15] 这样的一个阶段
[00:45:16] 为什么数学代码是相对容易泛化的领域
[00:45:19] 其实也没有
[00:45:20] 就是说是你如果你如果做强化学习
[00:45:23] 但现在就还我觉得会有一样的问题
[00:45:25] 就是对于这些任务
[00:45:26] 然后嗯当然就说强化学习本身
[00:45:29] 它的泛化性要比比如做SFT要好
[00:45:33] 就是因为你在这过程中有更多的on policy的sample
[00:45:36] 就是你从模型本身去sample他他学出来的东西
[00:45:39] 3号现在看起来是更好泛化
[00:45:41] 而且你有负梯度
[00:45:42] 就这两个东西会导致从四小龙证据上来看
[00:45:46] 他的泛化会好
[00:45:48] 但是他的泛化还是有限度的
[00:45:49] 就比如说你
[00:45:51] 你今天就是假设在某一种类型的数学竞赛上
[00:45:54] 做到99分
[00:45:56] 那你别的数学问题可能会提升五个点
[00:45:59] 但是他很难直接也做到99分
[00:46:01] 就是你如果不不不做对应的
[00:46:03] IO的任务进去的话
[00:46:05] 他就很难很难直接做到这样的一个泛化性
[00:46:08] 我是觉得呃也仍然有一样的问题
[00:46:10] 就是你说做数学题
[00:46:11] 他也有仍然有一样的问题
[00:46:13] 就是他是被分部所制约的一个东西
[00:46:17] 就所谓就是说你还是种瓜得瓜
[00:46:18] 种豆得豆
[00:46:19] 但是我们希望就是我其实现在就是
[00:46:23] 我觉我觉得整体的LL或者POSTTRAINING
[00:46:27] 还是需要有更多的AI来让他能够摆脱这种
[00:46:31] 种瓜得瓜这样的一个情况
[00:46:33] 会不摆脱不了
[00:46:34] 会不会就是提高不了防滑性
[00:46:36] 就是还是回到刚刚说的嘛
[00:46:38] 就是问题是不可避免的
[00:46:39] 但问题是可以被解决
[00:46:41] 所以就是你每次会往前推进
[00:46:43] 你泛化就是会变得更好
[00:46:44] 他可能是一个他不一定有尽头
[00:46:47] 对就是你只会有更好的方法
[00:46:49] 所以对于AH来说
[00:46:49] 任务和环境非常重要
[00:46:51] 怎么定义好的任务
[00:46:51] 怎么定义好的环境
[00:46:53] 你在探索过程中有没有什么思考
[00:46:55] 就回到刚才讲
[00:46:56] 就说嗯就是另一种方式是说我给另一个模型
[00:47:01] 然后我去设计一些环境
[00:47:02] 去创逆向去拟合这个模型的
[00:47:04] 然后你那你可以就是现在你可能正向的设计
[00:47:08] 假设你是一方的做
[00:47:09] 你就正向的设计一些工具环境
[00:47:11] 然后让模型在这个环境里面去提升
[00:47:14] 可能很重要的
[00:47:15] 还是说让这个设计有更好的通用性
[00:47:19] 就他能做很多的任务
[00:47:21] 就是他不应该是说为了某一些任务
[00:47:23] 去专门的设计这个工学环境
[00:47:26] 然后呃当你的这个设计足够通用的时候
[00:47:31] 呃
[00:47:32] 然后你用模型去在这个过程中去学
[00:47:34] 而不是可能反过来去拟合这个模型
[00:47:37] 我觉得这样可能会是一个更好的做法
[00:47:41] 但我注意到一点啊
[00:47:42] 就是一般他们觉得在任务设计上
[00:47:44] 你设计一个足够有挑战的任务
[00:47:46] 这样这个任务可能会做出有本质的新的方法
[00:47:49] 但是你们的这个K2
[00:47:51] 其实是用的一些中等难度的任务
[00:47:52] 这是有什么思考吗
[00:47:54] 这个会带人通用性吗
[00:47:56] 会就是它那它也是一个爬山的过程
[00:47:58] 就是OK就是你不能一上来就让他去证明一个
[00:48:02] 就是还没有人证明过的数学问题
[00:48:04] 然后他可能这个sample
[00:48:07] 所以现在感觉比较好的方式
[00:48:09] 就是说其实强化学习
