[00:00:00] 物理世界的CEO不敢赌
[00:27:02] 倒并不是更敢赌了
[00:27:03] 2022年底吧
[00:27:05] 当时小鹏碰到了很多挑战的时候
[00:27:07] 当时给了自己有两个想法啊
[00:27:10] 跟赌都有关系啊
[00:27:11] 第一个就叫绝不服输
[00:27:13] 绝不服输啊
[00:27:15] 第二个是愿赌服输
[00:27:17] 啊
[00:27:17] 实际上
[00:27:18] 你如果把这两条都能够比较好的放在
[00:27:21] 一起去平衡
[00:27:22] 它意味着即使面对巨大的困难
[00:27:26] 你都要坚持
[00:27:27] 也许你再努一把力
[00:27:28] 他就过了呃
[00:27:29] 但是你要把心态做的非常好
[00:27:31] 就像刚才我所说的
[00:27:33] 当我把第二代VIA我认为应该把它放大
[00:27:37] 并且最后坚定的把第一代VI甚至都完全停止
[00:27:41] 它从业务到技术
[00:27:44] 甚至到组织
[00:27:46] 那么是一个巨大的心
[00:27:47] 理上跟物质上的双重压力啊
[00:27:50] 你在这个时候你越犹豫
[00:27:53] 越等待
[00:27:55] 越想观察
[00:27:56] 越想再说
[00:27:57] 过六个月你有可能越难成功啊
[00:28:00] 所以所以在这个里面的度量的判断
[00:28:03] 真的是非常有意思的一个点
[00:28:05] 但是我相信再过几年
[00:28:07] 等我们更好的成功
[00:28:08] 也许在那讲
[00:28:09] 我觉得在今天的过程中间
[00:28:11] 这个第一每家公司走的是过值的道路
[00:28:13] 它是不能复制的哦
[00:28:15] 所以我觉得今天中国说学A公司
[00:28:18] 学B公司
[00:28:18] 我觉得都是错误的
[00:28:19] 以我们今天的规模来看
[00:28:21] 要分析思考
[00:28:24] 找到一条适合自己的道路是最重要的
[00:28:28] 第二个数字AI里面所做的所有的事情
[00:28:31] 很多都无法复制到物理AI
[00:28:34] 这是一个不一样的世界
[00:28:36] 呃很多人提物理AI
[00:28:39] 我上次都在笑
[00:28:40] 我说首先你有没有在物理世界做过业务
[00:28:45] 嗯如果在物理世界都没有把业务做成
[00:28:48] 仅仅是从一个数字世界
[00:28:50] 去分析物理世界的定义规律
[00:28:53] 去做一个物理世界的AI
[00:28:56] 我觉得它还是一个载意的物理世界
[00:28:58] 这个物理世界还有很多是跟人相关的事情啊
[00:29:02] 能跟人相关的物理世界的环境法规
[00:29:06] 最后还有商业
[00:29:08] 它形成了一个事情
[00:29:09] 哪些可以先行
[00:29:11] 哪些是后勤
[00:29:12] 当然你从科研角度可以都不用管
[00:29:14] 但如果你从工程角度
[00:29:16] 甚至跳到从产品角度
[00:29:17] 再跳到商品角度
[00:29:19] 再跳到规模的商品角度
[00:29:21] 你就必须去思考的要更广更深
[00:29:24] 而不是仅仅是两到三块长板的逻辑
[00:29:27] 所以这为什么就我没有办法回答你
[00:29:32] 我觉得你可以去找以前任何一家数字AI的
[00:29:35] C e o
[00:29:36] 他们都不会告诉你
[00:29:37] 他们在AI里面转型的思考逻辑的
[00:29:41] 因为不知道能不能成功
[00:29:43] 第二不会分享给大家
[00:29:45] 但是这是今天大家面临的一个普遍的问题对吗
[00:29:49] 就是我们一定得转型
[00:29:52] 我不完全认同这句话
[00:29:55] 今天数字AI在哪些方面可以得到好的转型
[00:29:58] 哪些方面不用对一家大的企业
[00:30:01] 如果1万人或者5万人转型晚三天可能成功
[00:30:07] 概率提高了15%
[00:30:08] 对于一家微型公司
[00:30:10] 他今天如果用同质化的方法论同质化的组织
[00:30:14] 它没有变化
[00:30:15] 他可以去读嗯
[00:30:17] 因为他小
[00:30:18] 而且今天的AI能够去帮助我们的无外乎三种
[00:30:24] 第一种我觉得就是简单的分析师
[00:30:28] 就是现在我有很多地方我已经不用分析师了
[00:30:31] AI的帮我分析
[00:30:32] 第二简单的程序员
[00:30:34] 第三个简单的设计者
[00:30:37] 实际上它还是辅助为主
[00:30:39] 提高了效率
[00:30:40] 提高了效率
[00:30:41] 它并没有取代它
[00:30:43] 更没有超大规模的协同效应
[00:30:46] 他根本还没到达
[00:30:48] 所以换个角度
[00:30:49] 对于这三个方向的小微型公司嗯
[00:30:53] 我觉得适合度更高
[00:30:54] 速度应该更快
[00:30:56] 对于跟这三个方向不相关的
[00:30:59] 可能再晚一点
[00:31:02] 而对于物理AI
[00:31:03] 今天大家根本都没有想清楚
[00:31:05] 物理AI世界是什么岗位
[00:31:08] 刚才我讲的是三个岗位是什么岗位
[00:31:11] 最容易跟最优先在什么地方落地
[00:31:14] 绝大部分我看到的讲颠覆这个世界
[00:31:18] 用AI来去提高效率的
[00:31:19] 根本没有概念啊
[00:31:21] 所以我自己认为是从某些角度他是对的
[00:31:25] 从某些角度他是完全没有逻辑伦理
[00:31:28] 我们上觉得物理世界有很多的岗位都会变化
[00:31:31] 远超过数字世界
[00:31:33] 嗯因为在这个世界上
[00:31:35] 原来如果说360行有3万6000个不同的岗
[00:31:40] 我们觉得在数字世界的港是相对有限的
[00:31:43] 那很多人会不不是这样的判断
[00:31:46] 很多人说白领不是比蓝领的岗位更多吗
[00:31:49] 白领也有很多
[00:31:51] 也是在跟数字世界和物理世界交融的岗位
[00:31:54] 实际上是嗯啊这个某种角度
[00:31:58] 我觉得今天我们如果看物理世界假设啊
[00:32:02] 我先来说google下注自动驾驶是2009年
[00:32:08] 到了现在17年
[00:32:09] 我觉得韦某是一个既好又很不好的解决方案
[00:32:14] 为什么好
[00:32:16] 是我认为他的技术能力是不错
[00:32:18] 呃我觉得它很难全球化
[00:32:21] 我觉得在过去的时间里面
[00:32:23] number four的技术它天然就是一个更高级的缝合怪
[00:32:28] 它很难在AI里面做到极其高强度的繁华
[00:32:32] 我认为它不是一个极度聪明的方法论
[00:32:35] 当然了
[00:32:36] google现在在新的大模型里面做了很多的事情
[00:32:39] 嗯我认为在将来可能会他们会变化
[00:32:42] 但是目前我并没有看到啊
[00:32:44] 所以换个角度
[00:32:45] 我只是想举几个例子
[00:32:47] 就是说即使是让司机更轻松
[00:32:50] 更安全
[00:32:50] 更更快捷给他开车
[00:32:52] 我们每个人都是司机
[00:32:54] 就光这个事情做了17年
[00:32:56] 没有一家公司能够做得极好
[00:33:00] 好换个角度
[00:33:02] 很多很小型的公司
[00:33:04] 几条枪
[00:33:05] 十几个人就说我要用AI code去改变我
[00:33:08] 我自己觉得是他们完全低估了
[00:33:11] 物理世界改变的多样性跟复合性
[00:33:15] 就像我们最开始从移动互联网
[00:33:18] 从了汽车行业
[00:33:19] 都觉得我把一个事情做到极致
[00:33:21] 再极致一点就很好了
[00:33:23] NO因为你考虑的维度不对
[00:33:27] 它是一个物理的维度
[00:33:28] 你是一个数字的维度
[00:33:30] 你在数值维度做到极致
[00:33:32] 他的价值点可能极小
[00:33:34] 你在去年下这个关键赌注的时候
[00:33:35] 公司内部有负面的声音吗
[00:33:37] 有反对的声音吗
[00:33:38] 那肯定的
[00:33:39] 我觉得大部分的非AI的主管是觉得
[00:33:44] 你不管做A还是B可能都错了
[00:33:47] 因为那个时候他们对AI的认知不够强烈
[00:33:50] 我觉得大部分跟AI相关的主管
[00:33:53] 有些人觉得yes
[00:33:54] 有些人觉得low
[00:33:55] 但大部分人是属于中间态
[00:33:57] 就是不确认它是不是一个好的节奏
[00:34:00] 嗯不确认这是不是能够做到一个落地的效果
[00:34:04] 实际上那个时候连我都是一样
[00:34:06] 但是这就是创业的乐趣啊
[00:34:08] 每个人的创业不就是在你当时的能力上
[00:34:12] 独立十倍到1000倍的可能性吗
[00:34:16] 如果你要赌1000倍
[00:34:17] 对不起
[00:34:17] 你的概率是1‰
[00:34:19] 如果是十倍
[00:34:20] 你的成功概率可能1/10
[00:34:22] 所以就像创业最初始的赌注一样
[00:34:26] 随着你创业的规模变大
[00:34:27] 你一样需要去赌
[00:34:29] 只是说那个时候你不应该赌1000倍的概率论
[00:34:32] 你可能是赌数倍到十倍之间
[00:34:34] 你听过最大的反对声音是什么样的
[00:34:37] 我觉得最大的反对声音就是有很多人用脚投票
[00:34:42] 怎么说
[00:34:43] 用脚投票的意思就非常简单
[00:34:46] 他们不相信这个事情
[00:34:47] 他们觉得做不到
[00:34:48] 他就离开了
[00:34:49] 去做其他的事情
[00:34:50] 在今天我觉得是在一个企业里面
[00:34:53] 我觉得对于组织的思考
[00:34:56] 切记不要小刀砍大树
[00:35:00] 慢慢砍啊
[00:35:03] 想清楚了砍掉它
[00:35:06] 所以在某些上面你就敢下注
[00:35:08] 从组织到流程嗯
[00:35:12] 到方向全部改全部改对
[00:35:17] 所以去年动刀子动的是很大的对吗对
[00:35:20] 大家所看到的可能都是最上层的
[00:35:23] 业务层或者应用层
[00:35:24] 但是内部看到的就是一直到根上面去
[00:35:28] 所以我一直还是想说
[00:35:29] 上次如何利用AI驱动某些业务是非常之重要的
[00:35:34] 而不是利用硬件去驱动整体的体系
[00:35:37] 我听到你的很多节目基本上都在讲数字AA对对
[00:35:42] 就是基本上没有能在一个数万人
[00:35:46] 大量跟现实世界产生强交互的角度去思考研
[00:35:51] 我想说的是
[00:35:53] 把他们的方法论复制到物理AI
[00:35:56] 我认为有很多的地方是不够适合的
[00:36:00] 嗯可能有一部分的业务逻辑是对的
[00:36:03] 但是他们还不够全面更充分
[00:36:05] 这是最大的问题
[00:36:06] 这个时候我特别想问你的
[00:36:08] 就是物理1AI到底应该怎么做呀
[00:36:10] 在一个成型的组织里去推动它
[00:36:13] 我觉得我说不出来
[00:36:14] 因为我一直在探索中
[00:36:16] 在我的角度来看
[00:36:17] 今天AI有四个主要的方向
[00:36:20] 大家要去探索数字上的AI怎么变化
[00:36:24] 我觉得这一块有很多人都在思考跟行动
[00:36:28] 我觉得第二个就是物理AI
[00:36:29] 它比数字AI可能难100倍
[00:36:31] 但是我觉得20272028开始
[00:36:35] 大家会看到物理AI的效果
[00:36:38] 会开始出现类似HGBT啊
[00:36:44] SOPICK等数字AI上的巨大的变化
[00:36:47] 也就是说到底对什么岗位产生了巨大的帮助
[00:36:51] 甚至长期来看有一定的取代
[00:36:54] 嗯我觉得这是第二个
[00:36:55] 我觉得第三个就是今天大家没有能
[00:36:59] 真正
[00:37:00] 我觉得除了google在对人体的AI
[00:37:04] 把它两个非常好的耦合
[00:37:06] 让因为医药行业是个非常复杂的行业啊
[00:37:12] 包括养老啊
[00:37:13] 我觉得人体上不光是内部的循环
[00:37:15] 还有外部的循环
[00:37:16] 我觉得第四个一个很难的
[00:37:17] 就是企业跟AI怎么耦合啊
[00:37:21] 实际上部门跟AIO和中兴AI
[00:37:24] 耦合的相对简单
[00:37:25] 但企业是更难
[00:37:26] 但是我看到现在有很多小型的企业
[00:37:29] 大概在1000年以内的
[00:37:30] 我觉得他们的开始来更多的探索
[00:37:33] 我觉得这是一个非常好的点
[00:37:34] 实际上我们也在不断的观察学习啊
[00:37:37] 在合适的时间点一样要做
[00:37:39] 所以我觉得企业的AI
[00:37:40] 今天对于小中大型公司都是一个机会
[00:37:44] 所以现在对于小鹏这样公司来说
[00:37:46] 也算是一个变革期
[00:37:48] 对吗对
[00:37:49] 而且是一个在长期的变革期
[00:37:51] 技术的变化可能一个月就可以变完了
[00:37:54] 组织的变化
[00:37:55] 我讲的是不是一个小型组织啊
[00:37:58] 首先如果是一个全球化的中型组织
[00:38:00] 我觉得3年变完都已经是极其可怕的速度啊
[00:38:05] 我甚至认为五到10年都已经是一个快的速度
[00:38:09] 在这样一个技术剧烈变革的时代
[00:38:12] 你焦虑吗
[00:38:13] 作为一个CEO
[00:38:15] 当然焦虑有多焦虑啊
[00:38:17] 因为你会发现你以前的很多的逻辑论
[00:38:20] 甚至你逻辑论的底层的
[00:38:23] 你心目中的定理范式
[00:38:28] 甚至再往底层
[00:38:29] 可能甚至到公理层
[00:38:31] 就是你的价值观
[00:38:32] 人生观
[00:38:32] 世界观
[00:38:33] 你都会觉得嗯在这些东西的变化下
[00:38:37] 好像以前的这一套逻辑不是那么work
[00:38:41] 但是他该怎么去work
[00:38:43] 记住看到问题和解决问题和构建体系
[00:38:48] 去既有上限
[00:38:50] 又能堵住下限的避免问题
[00:38:53] 这是三种完全不同的能力级
[00:38:55] 很多人只看到问题
[00:38:57] 这个我当年没创业的时候
[00:38:59] 我也看到无数问题
[00:39:00] 当你作为一个创业者
[00:39:02] 你发现有很多问题它是天然应该存在的
[00:39:07] 嗯你根本没法解决问题
[00:39:09] 你是个CEO
[00:39:10] 你一样解决不了
[00:39:11] 你是一个更大的一个有权利的人
[00:39:13] 你都解决不了
[00:39:14] 因为你看到的问题是世界的问题的某一个角
[00:39:18] 度的某一环而已啊
[00:39:21] 所以这是一个非常有趣的话题
[00:39:23] 所以你刚才讲的焦虑
[00:39:24] 就是你会不断的重构你的定理
[00:39:27] 甚至公理推翻过过去什么样的功力啊
[00:39:30] 有什么过去觉得非常坚定相信的
[00:39:33] 今天觉得他在这个时代下不work
[00:39:35] 我举一个跟这个不相关
[00:39:37] 但是又有一点点关联的例子吧
[00:39:40] 嗯啊比如说当小鹏做了自动驾驶
[00:39:44] 做了很多年之后
[00:39:45] 你越做下去
[00:39:46] 你越会觉得好像level five永远不会到达对
[00:39:52] 因为你觉得用软件在全球所有的场景法规人机
[00:40:00] 我讲的人机应该叫人机工程的那个人机
[00:40:03] 就是能跟世界的交互
[00:40:04] 你会发现它是无限循环的
[00:40:07] 但是当你真正用AI重构这个事情之后
[00:40:11] 你觉得它可能存在的好
[00:40:16] 当它可能存在的时候
[00:40:18] 你会对于很多的原来的所谓的壁垒逻辑
[00:40:23] 都会产生新的想法啊
[00:40:26] 我只能点到这里了
[00:40:27] 再不详细说了
[00:40:28] 说了AI我们先不聊车
[00:40:30] 因为车是一个已经存续很长时间的业务了
[00:40:33] 我们先聊聊你们的机器人吧
[00:40:34] 你们机器人去年在国内外都挺火的
[00:40:37] 那么讲讲这个产品是怎么诞生的
[00:40:39] 我听说你们是在2023年BT了
[00:40:44] 通用人性机器人的这个方向对吗
[00:40:46] 像小鹏的机器人上分三个阶段
[00:40:49] 第一个是2018~2020嗯
[00:40:52] 他是一个独立的团队
[00:40:53] 那个时候跟中国的很多其他基金团队是一样的
[00:40:57] 中国对那时候大概有四五家都在做四足
[00:41:01] 那么2020年呢
[00:41:02] 到2023年是第二个阶段呃
[00:41:06] 我们差不多花了3年半到10年之间
[00:41:10] 做了三个不同的描述洞啊
[00:41:13] 我觉得是呃
[00:41:15] 我觉得这是第二个阶段
[00:41:16] 在这个里面我们试过很多
[00:41:17] 我们用嗯激情的方法做集成
[00:41:20] 用汽车的方法做集成
[00:41:22] 还中间做了一些缝合的方式做集成
[00:41:24] 我们都取得了不同的成功跟失败啊
[00:41:28] 我觉得在这个里面到了2023年之后
[00:41:31] 又是一个新的逻辑
[00:41:32] 就是说让我们在2022年看到了
[00:41:36] 这个新的模型
[00:41:37] 我们觉得机器人原来我们觉得不可能成功
[00:41:39] 大脑就是没有大脑成功的可能性啊
[00:41:42] 因为实际上小脑的复杂度都远高过大家的
[00:41:45] 今天大家有很多人说在基层的小脑已经做好了
[00:41:49] 我说那哪叫小脑
[00:41:50] 用同一个单调的步伐往前慢慢的行走
[00:41:53] 我觉得那不是小脑
[00:41:55] 那是脊椎或者你的老干
[00:41:58] 只是保持平衡
[00:41:59] 你还远远连小脑都不是
[00:42:01] 他们说那也叫小脑
[00:42:03] 他说啊你的运动的小脑实际上是大脑
[00:42:06] ok anyway啊
[00:42:07] 我认为实际上只是不同的统计逻辑吧
[00:42:09] 所以2023年之后
[00:42:11] 小鹏的继承人重新进入到一个从四足
[00:42:15] 坚定的开始往进入到双足
[00:42:17] 从不相信大佬
[00:42:19] 就像当时不相信level five一样
[00:42:22] 进入到一个坚定的觉得
[00:42:23] 从大脑去驱动器型的全新的设计
[00:42:27] 然后再加上我们的汽车领域里面
[00:42:29] 看到了技术好不代表产品好
[00:42:31] 产品大好不代表商品好
[00:42:33] 商品好不代表你可以SCO2
[00:42:35] 因为汽车有一套比较完整的
[00:42:37] 从规划到设计到ET到PT
[00:42:42] 到SOOP到SOD的一个全的流程
[00:42:46] 实际上我们嗯今年年底
[00:42:48] 我们就期望进入到继承类似汽车的SOP
[00:42:51] 明年2027年很有可能是机器人
[00:42:54] 在高等级机器人上面
[00:42:55] 进入到商业量产的第一个元年
[00:42:58] 不管是中国还是美国都会去TETRAINING
[00:43:01] 我觉得在过去的以运动遥控型的继承人的时代
[00:43:07] 就会随着高等级机器人出现
[00:43:09] 会逐渐的适度下行啊
[00:43:12] 我觉得会进入一个差分的阶段
[00:43:14] 实际上是
[00:43:15] 实际上所有人都是期望
[00:43:16] 物理AI中间最核心的代表机器人
[00:43:19] 它能够帮助人类到底实现什么样的价值
[00:43:23] 能干活啊
[00:43:25] 这个价值在过去是情绪价值
[00:43:28] 对情绪价值是有价值的
[00:43:30] 但是更重要的是物理的价值
[00:43:32] 加上情绪价值的组合啊
[00:43:35] 所以我觉得明年是可能开始的
[00:43:36] 元年23年发生了什么
[00:43:38] 让你从不相信别人
[00:43:39] 相信了23年
[00:43:40] 是因为我认为在当时
[00:43:43] 如果我们用一个对机器人非常懂
[00:43:47] 非常熟悉的团队
[00:43:49] 没有能力做出一个好的全新一代的机器人
[00:43:53] 当时用了LC
[00:43:54] 我们当时把300人的团队只留了不到60个人
[00:44:00] 嗯我们把他解散了出去了
[00:44:02] 听说他们跟我说有十个创业的团队啊
[00:44:06] 大部分都拿到钱了
[00:44:07] 现在是这个像中期拿了好多轮钱了
[00:44:11] 我自己认为要去重构整个机器的逻辑
[00:44:15] 不能用以前的纯汽车人
[00:44:17] 也不能用以前的纯机器人
[00:44:19] 但是也不能啥都不懂
[00:44:21] 那应该用什么样的人呢
[00:44:23] 我不知道
[00:44:24] 所以我当时选了另外一个全新的团队啊
[00:44:28] 他既懂点AI
[00:44:30] 又懂点汽车
[00:44:31] 又懂点工程
[00:44:33] 又懂点机器人
[00:44:35] 然后尝试去来做一个全新思考的机器人逻辑
[00:44:39] 为什么当时选中它呀
[00:44:41] 我觉得有很多时候是命运啊
[00:44:43] 你不能说
[00:44:43] 因为他既不是专门做机器人的
[00:44:45] 他也不是专门做智能驾驶的
[00:44:47] 所以我选他对吧
[00:44:48] 那他真都不是
[00:44:50] 我当时觉得他的象限跟我的思考的象限
[00:44:56] 比较吻合
[00:44:58] 所以他是我的在象限内思考选择的几个人之一
[00:45:04] 首先你选择他
[00:45:05] 他也要选择利益啊
[00:45:06] 然后他的选反向选择
[00:45:08] 我认为我觉得可以try
[00:45:12] 所以我经常看到很多外面基层人的demo或者演示
[00:45:15] 或者是video
[00:45:16] 或者说他们很多还在我们的
[00:45:19] 可能第三代或者第四代的技术站上去做testing呃
[00:45:25] 我自己就是说也许他能成功
[00:45:27] 但是我是试过了
[00:45:28] 所以我觉得小鹏在持续的创新里面
[00:45:32] 我们是非常既有耐心又有勇气嗯
[00:45:35] 去长时间投入
[00:45:37] 所以今天呢有很多基金公司
[00:45:39] 他很快速做出一个demo
[00:45:41] is nothing in啊
[00:45:42] 对我来看的话
[00:45:43] 就像2017年的时候
[00:45:45] 中国那个时候有很多level four的数据公司
[00:45:47] 就跟今天机器人一样
[00:45:49] 当然机器人更多了
[00:45:51] 实际上是不代表这些技术
[00:45:54] 最终能够看到真正的价值
[00:45:56] 所以只是一个简单的类比吧
[00:46:00] 因为这个这样的对比也不好
[00:46:02] 你选了这个机器人的负责人
[00:46:04] 他对你后来的选人标准有过任何的影响吗
[00:46:08] 你觉得这是一个可以沿用的方法吗
[00:46:11] 因为你讲的这个
[00:46:12] 我会想到说马斯克他特别喜欢用通才型的人
[00:46:15] 他不喜欢用那种专家型的人
[00:46:17] 我觉得可能在TESLA的硅谷
[00:46:22] 更容易找到更多可选的通才型人吧
[00:46:25] 我觉得在绝大部分的国家
[00:46:27] 城市或者行业是很难的啊
[00:46:30] 我想说这是第一个
[00:46:31] 我觉得LC他非常注重他的说法
[00:46:35] 叫人才的密度啊
[00:46:37] 我实际上是认为是人才的潜力
[00:46:39] 他基本上都用最好的人啊
[00:46:42] 比如说去年的年底到今年的上半年
[00:46:44] 我们大概类似三清的博士这样的毕业生
[00:46:48] 就光一个部门招了接近80个
[00:46:50] 他们都很贵哦
[00:46:52] 但是我们都愿意
[00:46:54] 然后你要有能力聚拢这样一帮人
[00:46:57] 你要愿意支持他们的长期的探索
[00:47:00] 嗯你要相信这群年轻的小伙子或者女孩
[00:47:05] 他们能够创造奇迹
[00:47:07] 我认为叫人才的潜力
[00:47:08] 他认为叫人才的力度
[00:47:10] 我觉得要用超级聪明的人去做超级困难的事情
[00:47:16] 而不是说用非常清晰的方向
[00:47:20] 或者流程或者工具去来去锻造
[00:47:24] 我觉得在某些阶段就是非常对的
[00:47:27] 那个时候要BT通用人形机器人
[00:47:29] 你选择的理由是什么呢
[00:47:31] 在23年为什么是一定要是通用人性呢
[00:47:33] 我觉得这是每个公司选择的道
[00:47:36] 对我觉得我很开心
[00:47:38] 我跟我的有团队LC都是一样
[00:47:40] LC比我还crazy啊
[00:47:42] 他一直跟我说
[00:47:43] 他想是造人
[00:47:44] 而不是造机器人
[00:47:45] 就是绝大部分人把一个机器人
[00:47:47] 当做一个商业的产品
[00:47:49] 但是我认为他没有思考到继承追踪在这个社会
[00:47:52] 在这个宇宙的参与感
[00:47:54] 或者跟我们每个人的情绪价值的连接度
[00:47:57] 就像2014年
[00:47:59] 很多人觉得智能汽车的智能是没有价值的
[00:48:02] 我觉得站在今天
[00:48:03] 也有很多人第一不相信通用汽车会到来
[00:48:07] 第二也根本不愿意看到通用汽权
[00:48:11] 也许在20年50年以后
[00:48:13] 会跟人类的各个领域强相关
[00:48:18] 今天刚才我们所讨论的数字AI只是辅助人类的
[00:48:22] 可能以三个为主的岗位
[00:48:25] 可能还有数十个很微小的分支岗位
[00:48:28] 但是物理可不是这么一点点
[00:48:30] 可能是他的数十倍到数百倍的规模
[00:48:32] 每个人都会变老啊
[00:48:34] 这个我上对机器人里面一个很重要的点是
[00:48:37] 机器人对老人的将来
[00:48:39] 我觉得是绝对最重要的两个因素
[00:48:42] 我觉得第一个因素就是这个人体AI
[00:48:45] 如何让老人不生病
[00:48:47] 更长寿更开心
[00:48:50] 第二个我觉得在物理AI上
[00:48:52] 机器人对老人的影响都会非常大
[00:48:55] 老人很有可能把继承人作为他唯一的依赖
[00:48:58] 我觉得极少有人会这样思考吧
[00:48:59] 我觉得小鹏的继承人的思考道路
[00:49:01] 跟很多公司是不一样的
[00:49:02] 去年那那波爆炸性的讨论有出乎你的意料吗
[00:49:06] 你当时还挺委屈的
[00:49:07] 对我们是没有想到
[00:49:09] 我们实际上想法非常的技术化
[00:49:11] 因为去年那款机器人
[00:49:13] 是我们前年一季度开始去做的
[00:49:16] 对我们来说它只是我们的一个中间版本
[00:49:19] 那这个中间版本我们只是想认证
[00:49:22] 如果一个机器人有人这么多的关节
[00:49:25] 像我们这关节还是比人少很多啊
[00:49:28] 人也能有200多个关节
[00:49:29] 且还有肌肉
[00:49:31] 且还有皮肤
[00:49:32] 我可以告诉大家
[00:49:33] 今天我们看到的很多基层他们的对外的行走
[00:49:37] 如果他上有肌肉跟皮肤之后
[00:49:40] 他的行走的效果会极大幅度的变化跟缩减
[00:49:43] 因为这是完全不一样的事情
[00:49:45] 换个角度
[00:49:45] 我们只是想去探索一下
[00:49:47] 如果在这样的情况下
[00:49:49] 他是不是能够更容易地进入到我们的生活
[00:49:53] 或者我们的工作情绪中间
[00:49:55] 我举一个例子吧
[00:49:56] 比如说我们以前做了四足继承
[00:49:58] 做过狗
[00:49:59] 做过马
[00:50:00] 不管是这士卒的是个什么
[00:50:02] 他进到你的房间他都不行
[00:50:04] 如果你让一个大概长度有1米1
[00:50:11] 到1米2左右的一只气口进到你的房间
[00:50:14] 你的房间很快出了很多问题
[00:50:16] 比如说他在你的床头柜那里
[00:50:18] 他无法原地掉头
[00:50:21] 如果你家里有一只金毛
[00:50:23] 它在掉头的时候
[00:50:24] 它的尾巴它都会往上动一下
[00:50:27] 它会抬起
[00:50:29] 而且它会刮到墙跟你的床
[00:50:31] 你不会觉得他会受伤
[00:50:33] 你也不会觉得你的床会受伤
[00:50:35] 但是一只机器狗
[00:50:36] 它百分之百会让你们两个都觉得受伤
[00:50:40] 那狗做小一点呢
[00:50:41] 如果他做的非常的小
[00:50:44] 它的能力级就非常的差
[00:50:46] 他就是轻度陪伴
[00:50:48] 还有一个问题是续航特别短
[00:50:50] 那么这是第一个
[00:50:51] 第二个我再说一个
[00:50:52] 如果是一个双足的机器人
[00:50:54] 全身有了盔甲
[00:50:56] 很威武
[00:50:57] 1米8嗯好今天你即使跟他一起
[00:51:02] 你是它的设计者
[00:51:03] 你也不愿意跟他只隔了一厘米行走
[00:51:07] 有压迫感
[00:51:08] 你觉得他可能危险
[00:51:11] 你觉得它可能会很烫
[00:51:13] 你觉得他身上可能有电
[00:51:15] 你觉得他身上可能很脏
[00:51:17] 反正有各种各样的原因
[00:51:18] 你会跟他保持距离感
[00:51:20] 如果连我们这样的成年人都会
[00:51:22] 那如果老人跟小朋友会怎么办
[00:51:25] 嗯他在社会上的安全跟法律法规该怎么去解决
[00:51:28] 在工业版的机器人可以做成这样的一个逻辑
[00:51:32] 因为它本身就不是在家庭或者商业里面去
[00:51:35] 所以很多人在工业版继承里面去
[00:51:38] 他说我避开了ABC的问题
[00:51:41] 刚才我讲的都是ABC的问题
[00:51:42] 但是工业版集成商引发了一个新的问题
[00:51:45] 就是手部的能力要很强
[00:51:47] 它会引进一个低的新问题
[00:51:49] 我还是回过头来说
[00:51:51] 在未来的时间
[00:51:53] 机器人如果走入到人类社会
[00:51:55] 在很多岗位
[00:51:57] 如果对基础蓝领跟基础白领都会产生价值
[00:52:01] 他一定要走入我们的身边
[00:52:04] 所以我们选了一条很难的道啊
[00:52:07] 嗯所以我我自己来看
[00:52:09] 今天中国的很多基金公司
[00:52:12] 无论在质量安全啊
[00:52:17] 包括最近的运动会
[00:52:18] 可以看到
[00:52:18] 就光一个乐观里就会出现一个这么有趣的现象
[00:52:21] 还是在大脑的思考逻辑
[00:52:24] 还是在它如何进入到真正的物理AI的思考逻辑
[00:52:29] 我觉得可能我们在两三年前都已经看到了
[00:52:32] 并且在做调整啊
[00:52:34] 但是我们选了一条很痛苦的道路
[00:52:36] 是这条道路你看得越深
[00:52:38] 你越难实现
[00:52:40] 为什么不做一些中间态啊
[00:52:42] 我觉得我们已经在做中间态了
[00:52:45] 我们的中间态只是说
[00:52:48] 如果你想把继承人真正可以简单的泛化
[00:52:51] 带入到这个人间
[00:52:52] 我们已经是在选择最容易做的中间态了
[00:52:56] 这人应该多高
[00:52:57] 你看我们现在这一代的基层
[00:53:00] 大概在1米69到1米7零之间
[00:53:02] 他要让男生和女生都比较舒适的身高
[00:53:06] 是的
[00:53:06] 而且他要可以穿衣服
[00:53:08] 他甚至有头发
[00:53:09] 但是他不能有自己的脸啊
[00:53:12] 他必须要跟人要有一定的差距啊
[00:53:15] 为什么不能有自己的脸
[00:53:16] 有一些是恐怖谷效应
[00:53:18] 也有一些是其他的法律和社会哲学的效应
[00:53:21] 所以实际上现在大家所看到的小鹏的机器人
[00:53:25] 和小鹏正在做的继承还是有蛮大的差别
[00:53:28] 嗯我觉得都等到今年的下半年吧
[00:53:30] 我期待我们在一个很深度的思考
[00:53:34] 做着一个最简单的中间态
[00:53:37] 然后用全公司资历
[00:53:39] 全小鹏公司资历能够做得好啊
[00:53:41] 这是现在的一个情况
[00:53:43] 去年发布会你说你很纠结
[00:53:45] 要不要证明这里面是不是真人
[00:53:46] 要不要剪开给大家看
[00:53:48] 你为什么要纠结啊
[00:53:49] 在纠结什么
[00:53:49] 我算不纠结
[00:53:50] 我的团队很纠结嗯
[00:53:52] 我认为就是马上就应该说我的团队说
[00:53:55] 你越说大部分人越会觉得你是有问题的
[00:53:59] 因为你会觉得清者自清
