[00:00:00] 理想是谁啊
[00:38:00] 端到端比较像什么呢
[00:38:01] 比较端到端比较像哺乳动物的智能呃
[00:38:05] 比如像马戏团里的一些动物
[00:38:07] 然后向人类学习怎么骑自行车对吧
[00:38:10] 然后他学了人类的这些行为
[00:38:12] 然后人类怎么去
[00:38:14] 然后怎么去做出各种的一样行为的这种开车
[00:38:17] 但是呢他对物理世界并不理解
[00:38:19] 对他只是看到了什么样的哦
[00:38:21] 一个三维的图像
[00:38:23] 然后并知知道自身的速度
[00:38:26] 并给出了一个什么样的轨迹
[00:38:27] 所以他应付大部分的泛化是没问题的
[00:38:30] 但一然后去面对他从来没有学到的
[00:38:34] 然后一特别复杂的对
[00:38:36] 那其实就会遇到问题
[00:38:38] 所以这时候我们也会配合
[00:38:39] 然后视觉语言模型就VRM然后放进来
[00:38:43] 但是呢我们能够用到的视觉语言模型
[00:38:45] 这些开源的对
[00:38:47] 然后他在用在交通上的能力都非常的有限
[00:38:49] 所以只能起到一些非常有限的辅助的一个作用
[00:38:53] 对那我觉得这是第二个阶段
[00:38:55] 就是动物的这个哺乳动物智能的
[00:38:59] 然后这样的一个运作这个方式对
[00:39:01] 那我觉得到了VRA
[00:39:03] 我觉得就是完全人类的运作方式了
[00:39:05] 对它会像人类一样的
[00:39:07] 然后用3D的vision和2D的组合
[00:39:11] 然后去看整个真实的物理世界
[00:39:13] 也包含他能够去看懂导航软件
[00:39:16] 这样的软件是怎么在运行的
[00:39:18] 而不是像VRM那样只能看到一张图片啊
[00:39:21] 那另外一方面
[00:39:22] 然后他有自己的整个的脑系统
[00:39:25] 能够去不简不难
[00:39:27] 要看到物理世界还能够理解这个物理世界
[00:39:29] 就它有它的LAN个位置
[00:39:31] 然后他也有他的COT有他的
[00:39:33] 然后这个推理这样的一个能力
[00:39:35] 我觉得第三个
[00:39:36] 然后他能够像人类一样的去真正的去
[00:39:40] 然后去执行这些这些这样的行动
[00:39:43] 对我觉得这个其实是然后VRA产生的一个
[00:39:45] 所以我们称之为如果放在
[00:39:47] 然后放在我们的汽车的
[00:39:49] 然后自动驾驶智能驾驶领域
[00:39:52] 而我们我们把它称之为VVRA的司机大模型
[00:39:55] 如果你感兴趣的话
[00:39:56] 我给你大概讲一下VRA是怎么训的好啊
[00:39:59] 他VRA是怎么训练出来
[00:40:00] 以及VRA自己怎么去工作的
[00:40:02] 因为确实我听了你很多期
[00:40:04] 大家都在讲VRA
[00:40:05] 但是我觉得大家讲的并不清楚
[00:40:07] 尤其到后边训的时候
[00:40:08] 大家就一带而过
[00:40:09] 往往只是引用一些论文
[00:40:11] 那我们真正在干这事儿的
[00:40:13] 而且我们有足够多的语料对
[00:40:15] 然后所以我们来讲一下
[00:40:16] 您可以讲讲VLA这三个他的关系是什么呃
[00:40:20] 怎么训的
[00:40:21] 对我还是讲一下怎么训的吧
[00:40:22] 然后并把这个关系表达清楚了
[00:40:24] 我觉得第一个其实是训练的环节嗯
[00:40:26] 对然后那训练环节第一个部分是什么呢
[00:40:29] 其实是是做一个要训出来一个VR的基座
[00:40:34] 就vision和language age的基座
[00:40:36] 那我们目前在训的对
[00:40:38] 然后当前的这个版本
[00:40:40] 然后是一个32B的
[00:40:42] 就是三百二十三百二十G的
[00:40:44] 然后一个云端的
[00:40:45] 然后一个基座模型对
[00:40:47] 所以先训这个
[00:40:48] 那这里边的话
[00:40:49] 然后跟过去的时候
[00:40:50] 这些语言模型的差异在于什么呢
[00:40:52] 然后第一在于我要放入更多的vision的语料
[00:40:55] 这个放vision的这种token嗯
[00:40:57] 那包这vision里面包含两个部分
[00:40:59] 一部分是3D division
[00:41:00] 就对物理世界的3D的vision其实要放进去
[00:41:03] 我觉得第二个是然后高清的2D的vision的嗯
[00:41:08] 因为今天的话大家看到各种奥多模态的
[00:41:11] 开源的VRM里边的
[00:41:12] 它的整个的2D的vision的清晰度太低
[00:41:15] 所以看的距离不够
[00:41:16] 那我们放进去的基本上距离提升了3~5倍
[00:41:20] 对我觉得这是非常之重要的
[00:41:22] 所以呢我觉得这是一个部分是然后vision的
[00:41:24] 然后token和语料
[00:41:26] 然后第二个是然后要放入LANGU位置的
[00:41:28] 然后跟交通跟驾驶相关的足够多的对
[00:41:33] 然后的这方面的语料
[00:41:35] 对我觉得这是然后LAN个位置的部分
[00:41:37] 然后第三个还有一个很重要的是
[00:41:39] 大家可能容易忽略的
[00:41:40] 就我们必须放入很多
[00:41:41] 然后VR联合的语料嗯
[00:41:44] 就是图像对三维图像和对世界的理解
[00:41:48] 语义要同时产生的
[00:41:50] 比如我举一个例子对
[00:41:52] 我要把导航的地图和车辆的
[00:41:55] 和对导航地图的理解一起放进去
[00:41:58] 这是原始的数据吗
[00:42:00] 没有原始的数据
[00:42:01] 这是这是你们自己的
[00:42:02] 所以我们我们才有对
[00:42:04] 然后就是就比如我要放入其实一个
[00:42:07] 然后看到导航以后
[00:42:09] 人类做了一个什么样的判断
[00:42:11] 然后这个判断我们的车辆是怎么记录的
[00:42:13] 然后把这个语料放进去对
[00:42:14] 所以呢我觉得其实整个的
[00:42:16] 然后VL的基座模型训练的时候
[00:42:18] 其实包含了三个部分
[00:42:20] 然后的这个这个数据是vision的数据
[00:42:24] 然后LANGU位置的数据和VR联合的数据嗯
[00:42:27] 对然后它形成VL的一个基座
[00:42:30] 那同时我要把这基座要干什么呢
[00:42:31] 然后我要蒸馏下来
[00:42:33] 变成一个然后3.2B的
[00:42:35] 然后端侧的蒸馏的模型
[00:42:38] 因为我要保证我的它运行速度足够的快
[00:42:41] 然后以及它能够在我的
[00:42:43] 然后无论是两个ORANX还是索尔钢U上可以
[00:42:46] 然后流畅的运行对
[00:42:48] 所以呢我们然后蒸馏下来是一个3.2B的
[00:42:51] 然后八个这个专家组成的MOE模型
[00:42:54] 如果直接跑3.2B的一个完整的模型的话
[00:42:57] 双ore x和索尔U的帧率是达不到的
[00:43:00] 就token的整个输出率是达不到的
[00:43:03] 所以我说这是第一个步骤
[00:43:04] 这是预训练的
[00:43:05] 然后这个环节
[00:43:07] 然后第二个部分其实是要做后训练
[00:43:10] 是预训练什么
[00:43:11] 预训练相当于然后学习人类的知识
[00:43:14] 就是先学习了人类的怎么去理解物理世界
[00:43:17] 然后怎么怎么去看物理世界
[00:43:20] 怎么理解物理世界这样的一个知识
[00:43:21] 蒸馏前是32B对吧
[00:43:23] 蒸馏前是32B在云端
[00:43:25] 一会我还给你讲云端32B仍然到后边
[00:43:27] 还是还要继续去使用
[00:43:28] OK对
[00:43:29] 并不是只是蒸馏完这个蒸馏
[00:43:31] 那个基座就放在那里了
[00:43:33] 那我就然后第二步骤是什么
[00:43:34] 第二步骤是做后训练
[00:43:36] 后训练什么呢
[00:43:37] 后训练其实是我要然后把它变成VA
[00:43:40] 然后我要把action其实放进来
[00:43:43] 这个后训练什么的
[00:43:44] 其实是一种还仍然也是一种模仿学习
[00:43:47] 特别像什么呢
[00:43:48] 特别像你去驾校学开车
[00:43:50] 嗯对就是你在驾校里学开车
[00:43:53] 就相当于其实我训练VRV
[00:43:55] 把它组合成一个VRA的
[00:43:56] 端到端的这样一个方式
[00:43:58] 对我觉得这是然后这个第二个部分
[00:44:01] 那这个时候大概模型规模就会从3.2B
[00:44:04] 大概扩大到接近4B就大概这么一个规模
[00:44:08] 其实它一方面是个VA
[00:44:10] 就是能够直接
[00:44:11] 然后从这个从视觉到理解到最后的这个输出
[00:44:16] 但是比如我们的COT就会很短
[00:44:17] 我不会做超长的COT
[00:44:19] 我的COT链条一般两步到三步
[00:44:21] 我不会再做更多了
[00:44:22] 因为否则延时太长
[00:44:24] 没有办法
[00:44:28] 那另外然后当我action做完以后
[00:44:30] 然后我还会做一个什么呢
[00:44:31] 还会做一个diffusion的预测
[00:44:33] 就是下边会发生什么样的一个人
[00:44:35] 然后时长的一个场景
[00:44:37] 那这个主要根据性能会做出来
[00:44:39] 然后4~8秒的这样的一个
[00:44:42] 然后diffusion的轨迹和环境的一个预测对
[00:44:45] 所以我说这是第二个部分
[00:44:47] 比较像人去驾校学校学开车这样的一个环节
[00:44:51] 然后第三个部分是什么
[00:44:52] 是强化对
[00:44:54] 然后是要做强化的这个训练
[00:44:56] 人像到社会上开车了
[00:44:57] 所以强化我们分成两个部分
[00:44:59] 然后第一部分先做什么呢
[00:45:00] 先做RHF就带有人类反馈的对
[00:45:04] 那所以呢我们有很多人类数据
[00:45:06] 就是当他这样的话
[00:45:07] 人类就会接管对吧
[00:45:08] 然后当代人类不会接管
[00:45:10] 包括人类的一些习惯
[00:45:12] 就得拿这块其实来做一个人类反馈的
[00:45:15] 然后一个强化的训练大概一个意思什么意思
[00:45:18] 包括我们的安全的对齐
[00:45:19] 都是在这个强化的环节完成的
[00:45:21] 就是你要遵守
[00:45:23] 你除了要遵守交通规则以外
[00:45:25] 你还要遵遵守
[00:45:26] 然后就比如中国的大家的驾驶习惯
[00:45:30] 就是你的开车习惯能够融入社会
[00:45:32] 你首先要开的跟整个社会的环境上的
[00:45:35] 大家一样好
[00:45:36] 你不能给别人带来麻烦对吧
[00:45:39] 而不是个新手
[00:45:39] 在路上的时候对你变成一个阻碍
[00:45:41] 所以我说这个是强化的第一部分
[00:45:44] 然后第二个部分
[00:45:45] 然后是纯粹的L是什么呢
[00:45:47] 是我们拿我们的世界模型生成的数据
[00:45:49] 然后训练那这块的目的是什么呢
[00:45:51] 就是开的比人类更好嗯
[00:45:54] 那这块的话呢我们中间不会给人类的反馈
[00:45:57] 然后呢我们只会给一个结果
[00:45:59] 就是从A点到B点
[00:46:00] 你要开过去
[00:46:01] 但周边呢会有三类的
[00:46:03] 然后会有三类的
[00:46:04] 有三类的这种这个这个训练的要要求
[00:46:07] 第一个是我们可以通过G值来判断它的舒适性
[00:46:10] 给舒适性的反馈
[00:46:12] 然后第二个然后是然后做碰撞的反馈
[00:46:15] 就它碰撞了这个人这个强化就没有完成
[00:46:18] 然后第三个是交通规则的反馈
[00:46:20] 如果他违反交通规则就没完成
[00:46:21] 所以是舒适交通规则和和碰撞事故
[00:46:24] 然后让他其实自己来做
[00:46:27] 然后整个的强化的训练
[00:46:28] 当当这三个步骤完成了以后
[00:46:30] 然后VLA的能够跑在车端的模型
[00:46:34] 其实就产生了
[00:46:35] 大概是这么一个方式
[00:46:36] 跟人非常像先理学习世界和交通的交通啊
[00:46:40] 和人类的这些知识
[00:46:42] 对这是然后预训练的这个环节
[00:46:44] 后训练的环节其实是相当于去驾校
[00:46:46] 然后认真的去学开车对
[00:46:49] 然后我觉得第三个环节其实相当于聊社会上
[00:46:51] 然后来开车只是社会上的
[00:46:53] 开车也是我们的训练的一个过程
[00:46:55] 然后通过人类的RHF对
[00:46:58] 然后来跟人类做对齐对
[00:47:00] 然后跟社会的这个环境来对齐
[00:47:03] 然后另外一方面
[00:47:04] 然后通过纯爱R的强化
[00:47:05] 以及我们自己
[00:47:06] 然后在然后设计模型里生成的数据
[00:47:09] 然后拿拿它做强化的训练
[00:47:10] 从而开的比人类更好
[00:47:12] 能够解决更复杂的问题
[00:47:13] 比或者比通用的
[00:47:15] 比这种人类的平均值要开的要好得多
[00:47:17] 大概是这么一个过程
[00:47:18] 那我觉得这还没有完哈
[00:47:20] 那这个我觉得这是有了VRA
[00:47:22] 但人类是怎么跟VRA工作的时候
[00:47:24] 其实我要搭建一个司机的agent
[00:47:26] 然后司机agent的什么呢
[00:47:27] 然后是人类就是以自然语言的方式
[00:47:30] 就是你跟一个司机怎么说话
[00:47:31] 你跟一个正常的驾驶员对
[00:47:33] 然后假设你有男朋友
[00:47:35] 你男朋友在开车
[00:47:36] 你怎么跟她说对
[00:47:37] 你又怎么跟司机的agent来说
[00:47:39] 或者一个代驾
[00:47:40] 然后你怎么跟他说
[00:47:41] 就说了
[00:47:41] 那这里边的话
[00:47:42] 如果是一些短指令
[00:47:43] 通用的短指令会直接
[00:47:44] 然后VRA直接就处理了对
[00:47:47] 然后不需要
[00:47:48] 然后再经过云端
[00:47:49] 然后如果是复杂的长指令
[00:47:51] 其实是先要到云端的那32B的
[00:47:54] 然后VR那里处理完以后对
[00:47:56] 然后因为他理解交通的一切
[00:47:58] 然后他在整个的
[00:48:01] 然后来进行处理
[00:48:02] 就大概这么运行的一个过程
[00:48:04] 所以呢说白了就是他最后的一个好处
[00:48:07] 是说他能够像人一样去理解物理世界
[00:48:11] 然后能够像人类司机一样去理解物理学界
[00:48:13] 能够像人类司机一样去开车
[00:48:15] 去处理复杂的问题
[00:48:16] 然后也能然后像人类司机一样
[00:48:19] 跟其他人类进行沟通
[00:48:21] 对我觉得这是最后
[00:48:22] 我们然后交付到用户那里的产品
[00:48:25] 这其中这些步骤里面哪一个是最难的呀
[00:48:28] 没法预测对
[00:48:30] 因为这些东西我们前面没有任何人走过这条路
[00:48:34] 对deep sek也没有走过这条路
[00:48:35] 然后open i也没有走过这条路
[00:48:37] 谷歌VIO也没有走过这条路
[00:48:39] 对我们其实走的是个无人区
[00:48:41] 那你们为什么就BT了
[00:48:43] 为什么就压住了这条路呢
[00:48:45] 因为我最近做了一个技术播客啊
[00:48:47] 就是讲v la
[00:48:48] 我就感觉这个技术路线还没有收敛
[00:48:51] 为什么你们觉得你们可以做
[00:48:53] 我觉得交通领域应该是VA最早实现的对吧
[00:48:56] 因为规则清晰
[00:48:58] 因为车的因为一是规则清楚
[00:49:00] 包括你说做强化是非常容易的
[00:49:02] 按照每个来讲是吧
[00:49:03] 交通的世界
[00:49:04] 一个车会跑到哪里是有的
[00:49:06] 虽然它很复杂啊
[00:49:07] 但是确定的对吧
[00:49:08] 车又不能开到水里
[00:49:10] 汽车也不能开到空中
[00:49:11] 车只能开到有路的地方
[00:49:13] 所以它是复杂的
[00:49:13] 具备确定性
[00:49:14] 然后我觉得这是一点
[00:49:16] 然后第二呢
[00:49:16] 其实车的控制其实车是个三道伏
[00:49:18] 就车有三个自由度
[00:49:20] 然后左右是一个自由度
[00:49:21] 前后是个自由度
[00:49:22] 某种程度上还能有一点轻微的旋转
[00:49:25] 这个自由度对吧
[00:49:26] 甚至自动驾驶某种东来就控制两个多
[00:49:29] 撑死就三个自由度嘛
[00:49:30] 对如果这个都不能实现
[00:49:32] 机器人呢上来就是40多个自由度
[00:49:34] 那个挑战就更大了
[00:49:36] 所以呢这时候
[00:49:37] 然后我们进行模仿学习是特别容易的嗯
[00:49:40] 所以呢车看到的就是人类看到的
[00:49:42] 人操作的其实就是然后就是车操作的啊
[00:49:46] 所以我觉得第二个他能做特别好的模仿学习
[00:49:48] 第三个他还能做特别好的强化是吧
[00:49:51] 就是大家在使用的过程中
[00:49:53] 不满意的时候就接管了
[00:49:54] 其实这就是跟人类没有对齐对吧
[00:49:57] 就告诉你不应该这么做
[00:49:58] 以及告诉你该怎么做
[00:49:59] 这是非常清晰的指标
[00:50:01] 对包括后边我不做人力监督
[00:50:03] 我靠生成数据来做训练的时候也非常清晰啊
[00:50:07] 因为什么是舒适即值是可以表达的
[00:50:09] 那什么是符合交通规则是能够表达出来的对吧
[00:50:13] 然后因为交通规则是个清晰的规则
[00:50:14] 然后第三个是否发生碰撞是可以表达的
[00:50:17] 然后如果他很舒适对吧
[00:50:19] 又不违反交通规则对
[00:50:21] 然后第三个
[00:50:22] 然后又没有发生碰撞
[00:50:23] 然后它得到A点到B点
[00:50:24] 它就会开的越来越好
[00:50:26] 我觉得这个其实它是一个最好的一个VRA的
[00:50:29] 第一个
[00:50:29] 然后重要的实验场
[00:50:30] 我听你说
[00:50:31] 我有一个感受
[00:50:33] 刚开始大模型火的时候
[00:50:34] 大家都说创业要做AI是造人
[00:50:36] 你们这个其实就是在造司机对
[00:50:39] 而且呢我觉着我有很重要的一个感觉哈
[00:50:43] 就是我们只有让他变成一个真正的司机
[00:50:45] 他才是一个生产力工具
[00:50:47] 不只是一个辅助工具对吧
[00:50:48] 今天L2啊
[00:50:50] 然后L2加啊
[00:50:51] 其实是个辅助工具对
[00:50:53] 那辅助工具其实还需要人大量的一个参与
[00:50:56] 但是呢我觉得如果想变成一个生产工具
[00:50:59] 然后我个人认为然后并不会出现通用的agent
[00:51:03] 然而是每个专业领域其实做专业的agent对
[00:51:07] 然后就跟我刚才讲的叫
[00:51:08] 其实要想开好车
[00:51:10] 这个他所有的vision的语料
[00:51:13] LAN个位置的语料和action
[00:51:15] 然后其实都是不一样的啊
[00:51:17] 然后你想做好一个医生对
[00:51:19] 然后你想做好一个律师
[00:51:21] 其实包括它背后的整个思维链对
[00:51:24] 然后背后的这些所有的数据
[00:51:27] 其实都是完全不同的
[00:51:28] 所以我这是判断
[00:51:29] 而且另外一方面呢
[00:51:30] 如果然后你想变成一个生产工具诶
[00:51:34] 那这时候然后就会和专业的人进行比较
[00:51:37] 比如说你是否比一个专业的司机开得更好
[00:51:40] 你是否比一个专业的医生表现的更好
[00:51:43] 你是否比一个专业的律师表现的更好
[00:51:46] 那你是否比一个专业的程序员表现的更好
[00:51:50] 对因为你会影响到他的整个的生产
[00:51:53] 然后他的整个的业绩
[00:51:55] 他的工作的结果
[00:51:56] 甚至他的财产和生命安全
[00:51:58] 我觉得这是我们看到的重点
[00:52:00] 所以这也是我为什么我们必须很很耐心
[00:52:03] 很深入的去解决
[00:52:04] 然后哪怕一个司机这样的一个问题
[00:52:08] 他并不可能通过一个泛化的
[00:52:09] 一个大的一个基座模型或者一个大圆模型
[00:52:13] 这些东西都能实现了
[00:52:14] 我觉得这是不现实的
[00:52:15] 为什么通用A证不如专业A证
[00:52:17] 在你看来呃
[00:52:19] 我们需要通用agent吗
[00:52:21] 我觉得给通用agent换个描述方式
[00:52:23] 我就通用agent的比较好的描述方式应该是agent os
[00:52:25] 我觉得5年之内没有通用agent的
[00:52:27] 会有一个agent os嗯
[00:52:29] 方便各个专业的人在这enter os上
[00:52:32] 其实开发出来自己需要的agent
[00:52:35] 对我觉得这个其实反而我认为其实需要的
[00:52:37] 所以你觉得agent可能是不同的工种
[00:52:40] 然后他们都共同享用一个agent os
[00:52:43] 对啊
[00:52:43] 因为你要做一个agent
[00:52:44] 或者说你要作为一个生产工具
[00:52:47] 你就是能够替代和解放人类真实的工作
[00:52:50] 每天那个高频的工作
[00:52:52] 比如开车
[00:52:53] 比如编程
[00:52:54] 比如很多事情
[00:52:55] 而并不是只是信息索引一下
[00:52:57] 在脑子里转一圈就结束了
[00:52:59] 我觉得这个是根本性的不同
[00:53:01] 而且这时候还就跟我刚才讲
[00:53:03] 它会影响到你的收入对
[00:53:05] 然后他会调用你的资产
[00:53:07] 然后他会调用你的工具或者你的财产
[00:53:10] 对你的电脑
[00:53:11] 你的车对吧
[00:53:13] 那这时候
[00:53:14] 然后我觉得整个的
[00:53:15] 包括对齐的要求也不一样了啊
[00:53:17] 比如你今天拿什么去查找一个信息
[00:53:20] 你拿deep sick
[00:53:21] 或者拿正常的这个open i查找一个信息
[00:53:24] 他就用rag方式去做索引了啊
[00:53:27] 但是你拿deep research呃
[00:53:29] 或者你拿VENDERS这样的
[00:53:30] 他会去找信息的源头
[00:53:32] 而不是简单的通过rap就可以
[00:53:33] 因为专业的人员一定找信息的源头
[00:53:36] 找到那最真实的源头信息才能往下去做分析
[00:53:40] 你们是不是也要做A证的OS
[00:53:43] 我觉得我希望的我们做的A证的OS
[00:53:45] 想来想去只有司机这一个
[00:53:48] 其他的我们不专业
[00:53:49] 你说我们做教育的
[00:53:50] 我觉得那应该是猿辅导啊
[00:53:52] 好未来他们去做的对吧
[00:53:54] 然后最后agent会搭载在我们车上有可能的
[00:53:57] 但是我觉得我们比较重要的是说
[00:53:59] 我们先做好公司内部的agent
[00:54:00] 因为公司内部要需要很多的agent啊
[00:54:03] 然后有客服的agent对吧
[00:54:05] 刚才讲的有编程的agent对吧
[00:54:08] 所以呢我也提出了一个很重要的一个需求
[00:54:11] 因为都仔细研的团队
[00:54:12] 机组模型团队和操作系统团队
[00:54:15] 还有我们的智能商业的这个团队
[00:54:17] 也甚至商业做工具的
[00:54:18] 他们三个是如何联合在一起
[00:54:20] 搭建出来有效的一个agent的OS
[00:54:23] 并让每个专业自己在上面
[00:54:25] 然后来开发出来自己所在专业领域的agent
[00:54:28] 你你不可能智能商业的团队
[00:54:30] 做出来一个克服的阵对
[00:54:33] 然后应该是客服团队来借助这个平台
[00:54:35] 借助整个这样的一个aj nos
[00:54:37] 来开发出来自己的真正的专业的
[00:54:40] 然后agent os他们一个人带多个agent一起来做客服啊
[00:54:44] 然后应该是我们的销售团队来做出来
[00:54:46] 电话专家的这样的agent
[00:54:48] 然后开发人员做出来对应他们的
[00:54:51] 然后编程的agent
[00:54:52] 然后以及对应他们的整个的做这验证实验的agent
[00:54:56] 我觉得这个其实都应该是每个专业自己去做的
[00:54:59] 并不会有一个团队帮大家做好
[00:55:01] 但是呢我觉得智能商业团队可以把一个公司
[00:55:03] 然后内部的agent的OS做出来
[00:55:05] 所有人方便的在上面
[00:55:07] 然后去放入自己所需要的数据语料
[00:55:10] 去做对应的这方面的这个训练
[00:55:12] 然后去调整他这个专业领域的思维链
[00:55:16] 我觉得这是大家可以去做的
[00:55:18] agent os是一个对内的事
[00:55:19] 不是一个对外的事
[00:55:20] 我就先做对内的
[00:55:21] 我以后会开源吗
[00:55:23] 这个怎么开源
[00:55:25] 我们还没想呢
[00:55:27] 对因为就是我觉着我们之所以开源
[00:55:30] 那个汽车都OS
[00:55:31] 因为我们做的真的挺好的
[00:55:32] 就明显比auto sa啊
[00:55:34] 比Q尼X好得多
[00:55:36] 自研了4年吗
[00:55:37] 对那真的是做得好明显的好对
[00:55:40] 如果你做的不好的
[00:55:40] 你注意看颜不就丢人吗
[00:55:42] 我觉得还在摸索的一个过程中对吧
[00:55:44] 也包含其实刚才讲的
[00:55:45] 其实很多人到了工作的时候
[00:55:47] 就像MANDUS一样
[00:55:48] 包括像真斯帕一样对吧
[00:55:50] 我怎么把to do list做出来
[00:55:51] to do list一定不是做系统的人做
[00:55:53] 而是说我把to do list这样的一个
[00:55:56] 然后架构设计出来对吧
[00:55:58] 每个专业再放to do list
[00:55:59] 每一个to do里边的思维链怎么做
[00:56:02] 我的这招才是真正的专业
[00:56:04] A政特
[00:56:05] 我们刚刚在聊VLA嘛
[00:56:07] 那是不是意味着端到端才出来一年
[00:56:09] 你们就要换架构了
[00:56:09] 这个是不是太快了
[00:56:10] 去年端到端就被放弃了吗
[00:56:12] 估计也没有放弃
[00:56:13] 还是我刚才讲的
[00:56:14] 其实端到端其实是VA的一部分
[00:56:17] 就如果你把端到端想象成
[00:56:19] 其实是聚身智能的执行的一个环节对吧
[00:56:21] 那它其实就是我们VRA的A的部分
[00:56:24] 就我A的部分
[00:56:25] 其实仍然是在拿这个语料在做训练的
[00:56:27] 但其实它就组成了我的A的部分了
[00:56:30] 那只是我要多语言的部分
[00:56:32] 还要多更强的3D vision和高清2D vision的部分嗯
[00:56:36] 最有可能一步直达vol a吗
[00:56:38] 就比如说去年不推出端子端加VOM那个版本
[00:56:41] 然后直接推vol a
[00:56:43] 直接研发via
[00:56:47] 没有可能至少从我们自己的体验上
[00:56:49] 其实没有可能就我觉着说不太好听的话哈
[00:56:52] 就是没有办法直接摘第十个包子
[00:56:55] 虽然可能大家觉得第十个包子吃饱了
[00:56:58] 但前面每个包子其实都跳不过去
[00:57:00] 然后我觉得往往很多时候
[00:57:02] 如果大家不想做前面任何的包子的积累
[00:57:05] 只想占第十个包子
[00:57:06] 很多时候非常像练葵花宝典
[00:57:08] 嘿我觉得今天包括deep se格的出现
[00:57:11] 并不是练回花宝典练出来的
[00:57:12] 对过去的时候他很早就构建这种集群的能力
[00:57:16] 去做这些链路的一对
[00:57:18] 然后对
[00:57:19] 然后这些基建的优化
[00:57:21] 对我觉得都是非常之重要的
[00:57:23] 对所以才有了它的低成本和效率
[00:57:25] 我们特别喜欢
[00:57:26] 然后讲这种有一个人很聪明
[00:57:28] 直接摘到第十个包子
[00:57:30] 但现实中
[00:57:31] 其实至少今天这个社会的整个的知识文明
[00:57:35] 发展得越来越好了
[00:57:36] 不是胆儿大大于一切
[00:57:38] 我我看不到什么捷径
[00:57:39] 包括今天很多企业做单导弹都很吃力
[00:57:41] 因为在规则算法时候都没做好
[00:57:44] 但是大家就觉得理想才是摘第十个包子的人啊
[00:57:48] 因为你们做智能驾驶的时间比别人晚嘛
[00:57:51] 但我们自研的时间并不短啊
[00:57:54] 我们从2021年
[00:57:55] 然后上高三的时候就开始来做自研
[00:57:58] 唉然后我们研究做的也很扎实啊
[00:58:02] 我觉得中国的所有企业里边
[00:58:04] 关于自动驾驶的论文我们应该发表
[00:58:06] 然后以及被大的会议啊
[00:58:09] 大的社区这个录取引用的其实应该也是最多的
[00:58:13] 我觉得这个情况我们还是做的挺扎实的
[00:58:15] 因为我们这个用户导向的公司
[00:58:17] 我们认为技术是一种能力
[00:58:19] 那所以呢
[00:58:19] 其实我们更多的时候讲的是用户的价值
[00:58:21] 嗯今天大家讲
[00:58:23] 然后无论是冰箱彩电大沙发对吧
[00:58:26] 但背后的话我们的冰箱
[00:58:28] 彩电大沙发的智能化的背后的基础
[00:58:30] 今天大家看仍然是非常强的
[00:58:32] 然后体验起来是完全不一样的
[00:58:34] 费用基础是什么
[00:58:35] 就是大型软件的能力啊
[00:58:37] 然后我们后边很多能力其实还是很扎实的
[00:58:40] 比如举一个例子
[00:58:41] 就为什么今天大家做端到端和VR不很难
[00:58:44] 是因为这个orange的芯片并不支持直接然后跑
[00:58:48] 然后语言模型
[00:58:49] 所以我们是自己的编译团队
[00:58:52] 所以我们特别理解deep se克
[00:58:53] 一看就看明白了
[00:58:55] 对
[00:58:55] 比如他做FP8的优化
[00:58:57] 然后能够跑它的整个训练的一个架构
[00:58:59] 我们做相同的事情
[00:59:00] 我们直接写了ORANX的底层
[00:59:02] 因为英伟达没时间
[00:59:03] 我们自己写的底层
[00:59:04] 让他用int4的方式来跑
[00:59:06] 然后VRM那这跟谁做FP8的训练
[00:59:09] 其实一个道理
[00:59:10] 包括今天的话
[00:59:11] 然后我们为什么能做到双ORINX
[00:59:14] 然后跟索尔U都能跑
[00:59:15] Vr a
[00:59:16] 就我觉得可能对很多团队是个非常大的挑战
[00:59:18] 为什么呢
[00:59:19] 因为我们自己有非常强的能力
[00:59:21] 我们有编译团队
[00:59:22] 然后我们有芯片的能力
[00:59:24] 然后我们有板子设计能力
[00:59:25] 有操作系统能力
[00:59:26] 所以呢我们是能够把两高入X同样可以跑
[00:59:29] 然后同等规模的
[00:59:31] 然后VRA的模型
[00:59:31] 我觉我们这方面的技术都是非常之扎实的对
[00:59:35] 因为我自己还是认为你规模小的时候无所谓
[00:59:37] 你规模大的时候
[00:59:38] 基本功和能力对永远是无法逾越的
[00:59:41] 这是哪一年顿悟的
[00:59:43] 我很早就顿悟了
[00:59:44] 然后做气质佳的时候
[00:59:46] 就是基本功极为扎实
[00:59:47] 然后做理想汽车的时候
[00:59:49] 就是只要我们做什么事情
[00:59:50] 这个基本功都做的非常的扎实
[00:59:52] 因为你说做人类的最佳实践往往是反人性的嘛
[00:59:55] 你做过最反人性的事情是什么呢
[00:59:58] 就为了追求最佳时间而反人性
[01:00:01] 我觉得我们做的最大的反人性的东西
[01:00:04] 就是我们在每次看到遇到问题的时候
[01:00:06] 都愿意做巨大的变化对
[01:00:09] 然后这个变化包含能力的变化对
[01:00:13] 然后业务的变化和组织的变化
[01:00:15] 我觉得这个其实是我创业一路走来
[01:00:18] 我认为做的最坚决的事情
[01:00:22] 所以什么样的corner case是可能端到端加VLM
[01:00:25] 就是聚能架构无法解决
[01:00:26] 而VERA是可以解决的
[01:00:28] 我们给大家举个例子
[01:00:30] 我过去的时候端到端有两个
[01:00:32] 然后麻烦的问题
[01:00:33] 然后第一个问题是他对复杂东西理解
