[00:00:01] 哈喽大家好
[00:53:06] 或者你要先看见这条路
[00:53:08] 第二今天你整个组织要敢去走这条路
[00:53:10] 所以这个对一个前面10年都在走
[00:53:14] 非常确定性的道路的公司来讲
[00:53:16] 其实这样的一个就整个心智的变化
[00:53:19] 它并不是好像战略变了
[00:53:21] 你的心智就会变那么简单的
[00:53:24] 换句话就整个组织的对吧
[00:53:26] 大家的的氛围
[00:53:27] 大家相信的东西和大家觉得诶我们能做会做的东西都在上一个战略里
[00:53:35] 而今天你的新战略需要大家走上一条完全不同的道路的时候
[00:53:38] 那么这个几千个人怎么过去
[00:53:40] 其实是一个我们过去几年一直在探索呃
[00:53:44] 很痛苦
[00:53:45] 但是呢我觉得到今天其实有一些不错的收获的的一件事情嗯
[00:53:50] 能做了哪些事情
[00:53:51] 以及你对七系的标准是什么
[00:53:57] 然后最创新的东西
[00:53:59] 那其实有一些品类做七系其实相对容易一些
[00:54:05] 比如在充电
[00:54:06] 其实我们在20年那会儿
[00:54:09] 整个市面上最贵的充电器充电宝可能就是五六十美金
[00:54:15] 那呃我们要制作七夕的时候
[00:54:18] 我们就觉得诶那怎么今天把这个产品真的就做到特别的极致对吧
[00:54:23] 然后我们在这个领域里面的确也是我觉得研发能力最强的
[00:54:28] 所以当你给团队好像提那样了要求之后
[00:54:31] 团队每一年前进一些
[00:54:32] 每年前进一些
[00:54:33] 他其实就做出了行业里边就是最极致的产品
[00:54:38] 所以现在我们安克的充电的
[00:54:40] 我们叫prime这个产品线
[00:54:41] 就是七系的产品线
[00:54:42] 那它的均价已经到了100多美金对吧
[00:54:47] 那么其实嗯我觉得应该已经算是占到了一个气息的
[00:54:51] 一个就稳定的一个位置上嗯对但是对很多其他的品类来说
[00:54:56] 比如说像耳机
[00:54:58] 那么七系里边已经占住的
[00:55:00] 就换句话就是像充电这种品类
[00:55:03] 其实七系以前并没有人对吧
[00:55:05] 然后我们今天去第一个橙味气息打造出气息
[00:55:09] 然后那我们过去几年也做到了
[00:55:12] 但是有其他品类
[00:55:13] 比如像耳机
[00:55:14] 其实里边已经有非常成功的气息
[00:55:17] 就是说苹果的AIRPODS的系列
[00:55:20] 那这个时候你要做到就是跟他一样好
[00:55:24] 甚至你比他更好
[00:55:25] 其实就需要一个非常长的时间和非常困难的过程
[00:55:30] 所以这种品类真的做到气息就是非常考你的第一性和你的求极值的
[00:55:35] 那对
[00:55:36] 这个其实我们花了几年时间
[00:55:39] 我觉得到今年嗯这个节目播出的时候
[00:55:42] 我们已经发布的那款产品
[00:55:44] 我觉得我相信应该是做到了
[00:55:48] 嗯对啊那嗯对
[00:55:51] 其实往回看就说就刚刚讲
[00:55:54] 其实对一个做七夕产品的公司来讲
[00:55:58] 那么我们觉得其实你换句话就对一个做极致创新的公司来讲
[00:56:06] 其实你要回答几个问题对吧
[00:56:08] 第一个就是你你怎么能做到
[00:56:12] 就是你的公司或者你的人是怎么做
[00:56:16] 才能今天做出技术创新出来
[00:56:18] 呃这件事情呢其实你你再去抽象它
[00:56:21] 就是你看那些做极致创新的成功的那些公司
[00:56:26] 像乔布斯
[00:56:27] 像musk对吧
[00:56:28] 以及回到我们公司内那些做极致创新做的很好的人
[00:56:32] 你去看他们身上的特质
[00:56:34] 你会发现其实它就是归纳到最后三点
[00:56:39] 就是你怎么思考问题
[00:56:42] 你怎么做事情
[00:56:43] 最后以及你怎么自处
[00:56:46] 那么你怎么想事情其实就是第一性
[00:56:50] 就是你愿意不去从别人怎么做对吧
[00:56:55] 不去从你过去怎么做开始思考
[00:56:57] 而是你回到说什么是最好的用户价值
[00:57:00] 就用户最什么样
[00:57:02] 他最开心
[00:57:03] 然后那么你回到对吧
[00:57:05] 就物理学的本质去就是拆解这样的一个问题
[00:57:11] 然后往往你通过就刚刚讲从基础原理开始
[00:57:17] 一层一层上搭这个框架的时候
[00:57:19] 然后去解那个用户价值的问题的时候
[00:57:21] 你就会发现诶这个地方有一块是缺的
[00:57:24] 那么缺的这一块其实就是我们说第一性面找到的方向
[00:57:29] 然后那这个方向呢通常来讲都没有人做过对吧
[00:57:34] 然后那这个时候就考验你的敢不敢去做
[00:57:37] 你能不能顶着巨大的风险
[00:57:39] 想尽一切的办法去把这个事情做出来
[00:57:42] 嗯所以就是你怎么做事情对
[00:57:45] 最后的话呢其实想和做之这个大概是跟事情相关的
[00:57:49] 你会发现最底下其实还有一层是在这个做事情很困难的过程里面
[00:57:54] 你怎么自处
[00:57:55] 就是你怎么deal with yourself对吧
[00:57:57] 你的各种情绪
[00:57:59] 你的各种困难
[00:58:00] 所以对未知的恐惧对
[00:58:02] 所以这个背后呢我们说其实这一层自处这一层你需要几个品质
[00:58:08] 第一个我们说长期处理
[00:58:10] 就是你能够看见未来的局面对吧
[00:58:13] 然后第二呢你能够忍受说为了长期利益而放弃当下的短期利益
[00:58:19] 所以这个我们加起来叫长期主义
[00:58:22] 之外的话呢我们说还有就是今天的呃自我进化就自我觉察和自我进化
[00:58:28] 自我觉察我们的定义里面叫做首先看见问题中自己的部分自我净化
[00:58:35] 就要通过改变自己解决问题
[00:58:37] 嗯这个听起来是很大白话啊
[00:58:41] 但你会发现这个其实是很难做到的对吧
[00:58:44] 就是今天一个事儿出了事儿
[00:58:45] 出了问题之后
[00:58:46] 到底是我先从自己身上找原因
[00:58:48] 还是我先从对吧外面找原因
[00:58:51] 然后我到底是通过改变自己来解决这个问题
[00:58:54] 还是说我努力去改变别人
[00:58:56] 所以这个背后我觉得就刚刚讲自我觉察
[00:58:59] 自我进化
[00:59:00] 所以长期主义
[00:59:01] 自我觉察
[00:59:02] 自我净化
[00:59:03] 还有持续学习
[00:59:04] 这个是我们把它包在一起
[00:59:05] 我们叫共成长
[00:59:07] 这实际上是一个我们觉得自处的品质
[00:59:10] 对其实你抽象看完之后
[00:59:12] 你会发现我们觉得这个框架是蛮稳定的
[00:59:15] 就它可以被用来描述
[00:59:17] 就是全世界的创造者
[00:59:18] 包括就描述说怎么样创造的一个必经之路
[00:59:23] 嗯想象一下是不是这样的
[00:59:25] 嗯就是如果你要创造一个对吧
[00:59:28] 特别全新的东西
[00:59:29] 全新的价值的话
[00:59:30] 你一定要有第一性的思考对吧
[00:59:33] 你一定要求极致的执行
[00:59:34] 最后过程中间你要能够长期处于自我觉察
[00:59:37] 自我进步嗯对所以我们找到这个框架之后
[00:59:40] 觉得嗯还挺本质的呃
[00:59:43] 就像前面讲的1357对吧
[00:59:46] 讲的超级品类细分品类一样
[00:59:48] 我们说实话这也是公司自己的风格
[00:59:51] 就当我们今天讲我们做事情要第一性求其制的时候
[00:59:55] 那回到今天这家公司
[00:59:57] 那我们也希望能在第一性的原理上把这家公司讲清楚
[01:00:01] 这个框架是怎么找到的呀
[01:00:04] 其实就是抽象归答
[01:00:07] 就是你理解今天
[01:00:09] 那你今天看到说刚刚讲外面的成功的案例和你内部的成功的案例
[01:00:14] 你把这些行为写下来
[01:00:16] 嗯然后你再去抽象它
[01:00:18] 你就发现其实他就是这么
[01:00:21] 然后你再给他一个框架对吧
[01:00:24] 你发现他就是这么三条
[01:00:25] 就怎么想事
[01:00:26] 怎么做事和怎么自处
[01:00:28] 因为你们不是一个day one
[01:00:30] 就这么做的公司
[01:00:31] 你们是一个从一一以前做了11年
[01:00:33] 然后转型的公司
[01:00:35] 在这个转型路上有多少人能转过来
[01:00:36] 多少人转过来
[01:00:38] 嗯的确就是其实
[01:00:42] 当你要从一个做五系产品的公司对吧
[01:00:45] 转成一个做七系产品的公司的时候
[01:00:47] 你首先刚刚讲讲清楚怎么样才能做出七系的产品对吧
[01:00:51] 就刚才讲第一行秋季适合工程长嗯
[01:00:55] 那这个行为其实讲的很清楚了
[01:00:58] 那你就回头看说你的做武器的这些同事里边
[01:01:02] 他们怎么样
[01:01:03] 他们的行为能够调整到对哈这个上面去
[01:01:08] 其实客观讲这个是个很困难的事情
[01:01:11] 你想大家都有自己的成功路径
[01:01:13] 并且都觉得做的还挺好的
[01:01:15] 但是呢就又回到冬天
[01:01:16] 有我的特质
[01:01:17] 就是我们其实我一直在说
[01:01:19] 我们说才稳一个台阶
[01:01:21] 我们就我们去构下一个台阶
[01:01:22] 我们觉得说我们这群人
[01:01:24] 包括我们的高管团队
[01:01:25] 大家觉得我们的确不应该满足于只做一个武器的公司是吧
[01:01:29] 我们在这个时代
[01:01:30] 我们在我们已经达到的一个楼层上
[01:01:34] 我们有能力去做技术创新的时候
[01:01:35] 我们就想去做它
[01:01:37] 所以这个意愿之后
[01:01:38] 其实我觉得会带领我们其实会就是经历很多的
[01:01:43] 其实是走进一个很困难的的过程
[01:01:46] 你看啊这打游戏我们从easy开始打起
[01:01:48] 打到了对吧
[01:01:49] medium对吧
[01:01:51] 然后我就打到了
[01:01:52] 我觉得其实几其实创新我们觉得最起码是个hard模式
[01:01:56] 在一些刚刚讲对吧
[01:01:57] 就是七系的抢手特别强的品类里面
[01:02:01] 它可能就是一个nightmare的模式了对吧
[01:02:03] 但我们这种觉得说那medium打的挺好的
[01:02:06] 我们就应该去打hard的
[01:02:07] 而不是应该停在medium就舒舒服服的
[01:02:09] 那你平时自己打游戏吗
[01:02:11] 比如什么什么风格
[01:02:13] 我其实不太打游戏
[01:02:14] 因为你觉得其实整个商业世界
[01:02:16] 整个企业的创造就是一个最有趣的游戏了
[01:02:19] 杜明基老说说你的人生
[01:02:22] 其实你的工作其实就是你好像成就感最强的那个游戏嗯
[01:02:27] 对你们最近也做了很多事情
[01:02:29] 都感觉非常的不安可啊
[01:02:30] 比如说你们发了一款芯片
[01:02:31] 这个决策是怎么做出来的呀
[01:02:33] 这应该是3年前做的对吧
[01:02:35] 呃就就回到其实讲的对吧
[01:02:37] 哈哈这个价值观引导我们做出了做芯片的决策
[01:02:41] 我们在影音领域里面
[01:02:42] 其实我们要好的升学算法
[01:02:43] 嗯对所以我们在21年就建立了我们的数学上海的团队
[01:02:49] 那么嗯大家开始就是在的声音领域里边
[01:02:55] 其实最开始呢是用一些小模型在解决问题
[01:02:58] 嗯嗯因为声音其实你知道就是它在降噪的过程里边
[01:03:03] 通常大家分成几个步骤对吧
[01:03:05] 第一个叫就是being for me
[01:03:08] 就是通过几个麦克风
[01:03:09] 然后去算出来这个声音应该从哪过来
[01:03:12] 然后第二个步骤就是降调背景噪音对吧
[01:03:16] 第三个可能还要做
[01:03:18] 比如回声消除
[01:03:19] 然后第四步的话就做人声增强呃
[01:03:22] 10年以前的话
[01:03:23] 这个四个步骤可能都是通过就是一些数学的模型对吧
[01:03:29] 通过一些这个就是程序来做的
[01:03:32] 那么21年的时候
[01:03:34] 我们开始做的时候
[01:03:35] 就已经把它转成了一些深度学习的模型
[01:03:37] 就有一些子问题开始用深度学习的模型来解了
[01:03:41] 而到83年的时候呢
[01:03:43] 我们其实看见就ChatGPT
[01:03:46] 然后你特别的相信说未来应该是一个端到端解问题的时代
[01:03:52] 这个地方也是一个抽象啊
[01:03:53] 就我们说其实计算机的前面的80年是一个用分治法解问题的时代
[01:04:00] 就是把一个大问题分成很多个小问题
[01:04:02] 然后再往下分
[01:04:04] 再往下分
[01:04:05] 譬如说我当年做搜索的时候对吧
[01:04:07] 搜索就可以分成很多个子
[01:04:09] 其实搜索本身就是自然语言处理中间的一个子问题对吧
[01:04:13] 然后搜索的问题再往底下分成很多个子问题
[01:04:15] 再往下分再往下分
[01:04:16] 然后每一个问题今天嗯有一群人进去解
[01:04:21] 所以那你发现就是其实整个搜索里边可能就需要一个几百人
[01:04:26] 上千人的团队来解这些拆出来的问题
[01:04:29] 嗯对但是那嗯拆GBT出来
[01:04:34] 其实那个过程里面看的非常清楚
[01:04:36] 未来其实不应该再使用分值法来解决问题
[01:04:39] 其实应该嗯我们说从对吧
[01:04:42] 就分值法转到端到端
[01:04:45] 那端到端的话
[01:04:46] 本质上你发现它其实抽象看就是第一从数据里学
[01:04:51] 第二学出这个基础模型之后
[01:04:53] 再到现实过程里面去强化
[01:04:55] 就是数据学习
[01:04:56] 加强化学习
[01:04:58] 我们觉得构成了未来学习的范式
[01:05:01] 所以其实那这就是一个你看得见一个特别明确的会发生的事情对吧
[01:05:07] 就是嗯那应用在声学领域里边
[01:05:11] 就意味着说我们要把以前那些分治法的那些对吧
[01:05:15] 程序代码和小模型都扔掉
[01:05:18] 然后换成一个端到端的一个大模型
[01:05:21] 当然这个大肯定跟今天的语言模型的大是完全不同的尺度的
[01:05:26] 嗯那嗯的当这个模型要跑在耳机这样的可穿戴设备里的时候
[01:05:33] 其实那么你能word就当时我们的硬件条件最好的芯片
[01:05:39] 可能跑一个就是几百K参数的模型
[01:05:42] 就已经会出现巨大的功耗
[01:05:45] 就意味着这个模型其实在耳机里其实跑不动了
[01:05:49] 然后呢你再往下看
[01:05:50] 你发现为什么
[01:05:52] 其实本质上是因为声音这样的一个应用
[01:05:56] 它需要在每一秒里边切成很多个时间片
[01:06:00] 然后持续的去处理每一个时间片的声音
[01:06:03] 那么每处理一次时间片呢
[01:06:05] 嗯那么你需要把这个frame出来
[01:06:10] 就encode出来的十几个几十个token
[01:06:14] 然后完全过一次模型的全部参数
[01:06:18] 这个挑战就变成了说
[01:06:20] 其实每一秒钟每一个frame
[01:06:22] 你都需要把模型的所有参数从内存里搬到你的NPU里边去一次
[01:06:27] 而这个搬运本身就占了就是最大的功耗
[01:06:32] 那么所以当时我们的挑战就是我们能够做出对吧
[01:06:36] 几兆的嗯
[01:06:38] 性能其实是显出更好的端到端的模型
[01:06:41] 但是我们发现在耳机的芯片里面
[01:06:44] 其实它跑不起来
[01:06:45] 因为这个模型在每秒的几百次推理过程中
[01:06:49] 间的参数需要不停的被搬对吧
[01:06:52] 搬多了之后功耗大
[01:06:53] 所以最后我们只能降格到一个比如说小几百K就300K500K的模型
[01:06:58] 这个时候它的性能就会被巨大的影响到了
[01:07:03] 所以那就回到价值观对吧
[01:07:06] 这个时候你知道就是你要今天做一个嗯更大的模型
[01:07:12] 断了断的解决个问题
[01:07:13] 然后你又知道现在的芯片跑不了这个大模型
[01:07:17] 而跑不了的原因是他要不停的搬数据嗯
[01:07:21] 那么你非常自然的方法就是什么呢
[01:07:23] 我能不能不搬数据对吧
[01:07:26] 只要我今天这个数据不搬运的话
[01:07:29] 其实这个班的工号是不是就被消除掉了
[01:07:32] 然后所以很好玩
[01:07:33] 就是呃你回去看
[01:07:35] 你发现就计算机的前80年的架构叫冯诺依曼架构
[01:07:39] 对冯诺依曼架构就是一句话
[01:07:42] 就是叫存和算分离
[01:07:45] 就是你把程序和代码放在内存里边呃
[01:07:48] 到CPU里去做计算对吧
[01:07:51] 那你发现其实就是冯诺依曼架构和解问题的方法叫分治法
[01:07:58] 还有分治法产生的软件叫程序和数据
[01:08:02] 这三个其实构成了一个特别稳定的三角
[01:08:06] 就是你当你通过分值法来解决一个问题的时候
[01:08:10] 你写出来的是一段一段的对吧
[01:08:13] 代码和程序
[01:08:15] 然后以及他的数据
[01:08:17] 任何一个时间点
[01:08:18] 其实你都只需要运行这个程序中间的一小部分对吧
[01:08:23] 所以呢你就会在计算的时候
[01:08:24] 架构的时候把计算器和存储器分开
[01:08:27] 然后把程序和代码放在内存里边
[01:08:30] 然后只把每一秒钟或者要算的那一小部分放到CPU里面去算嗯
[01:08:36] 但你发现就端到端的时代这样的一个稳定的三角形
[01:08:41] 其实是应该被打破的
[01:08:43] 因为首先解问题的方法就不再是分治法了
[01:08:47] 它已经变成数据学习
[01:08:49] 加强化学习端到端
[01:08:51] 那么你产出的其实也不是一个几10万几百万行的代码对吧
[01:08:57] 而他是一个神经网络
[01:08:58] 而这个神经网络当然你说MOE的话
[01:09:01] 它可能只会激活一部分对吧
[01:09:03] 但是即使激活的那一部分也代表了几百万几10L到几10亿的参数
[01:09:09] 那这个时候你再沿用一个冯诺依曼架构对吧
[01:09:14] 当你发现你把你的参数存在你的内存里边
[01:09:17] 然后每次计算的时候
[01:09:19] 需要把所有的参数导进你的CPU里去算的时候
[01:09:24] 这个天然的效率就会很低
[01:09:26] 打一个比方的话
[01:09:27] 他就有点像
[01:09:28] 比如说呃你把你所有的知识存在你的左脑对吧
[01:09:32] 然后以前的话呢刚刚讲分治法的时候
[01:09:35] 每次解问题可能只会有一小部分的知识代码被用到
[01:09:39] 把那一部分搬到你的右脑里去计算就可以了
[01:09:42] 那个时候看起来是合理的对吧
[01:09:45] 但是今天的话呢
[01:09:46] 因为呃今天你的知识不在
[01:09:50] 或者你解问题的方法不再是被拆成很细的
[01:09:53] 而是它是一个整体
[01:09:54] 这是一个端到端的模型对吧
[01:09:56] 这个时候你解每个问题的时候
[01:09:59] 其实你需要把整个的左脑或者左脑中间相当大的影子搬到右脑去计算
[01:10:04] 这个时候你是不是觉得他就开始变得不太合理了
[01:10:09] 有点低效对吧
[01:10:11] 那所以你看人脑是怎么做的
[01:10:13] 人脑是一体的
[01:10:14] 对其实人脑就是今天你的存储
[01:10:17] 就是你所有的模型参数在你的神经元里边
[01:10:21] 然后同样的神经元其实也扮演了计算的角色
[01:10:25] 所以这样的话你的脑子是不搬运
[01:10:27] 在计算的时候是不搬运任何参数的
[01:10:31] 那么这样的话天然就是更高的效率
[01:10:34] 所以那是不是今天我们从一个存算分离的冯诺依曼
[01:10:37] 转成一个存算一体的
[01:10:39] 像大脑这样的一个架构
[01:10:41] 其实我们说的功耗就会显著的下降
[01:10:44] 然后这样的话我们就能在这耳机这样的小设备上面跑起来
[01:10:48] 一个大参数的模型
[01:10:51] 你们这个模型参数有多大
[01:10:53] 呃今天我们其实大概才不到200万的参数
[01:10:56] 但是对一个耳机里面能跑的模型来说
[01:10:59] 这已经是巨大了
[01:11:01] 为什么要把它放在耳机上
[01:11:03] 这是一个第一个产品吗
[01:11:05] 嗯还是回到今天
[01:11:06] 从消费者的痛点出发
[01:11:08] 嗯那今天我们说你用今天最好的耳机
[01:11:12] 再比如说嘈杂的地方打电话
[01:11:14] 或者比如你去机场对吧
[01:11:16] 然后对方打电话
[01:11:18] 对面的人会听到你机场里背景的播报吗
[01:11:21] 还是听得见
[01:11:23] 或者说你在开视频会会议的时候
[01:11:26] 是不是经常会有一个人上来之后哇
[01:11:28] 你觉得他背景噪音很嘈杂对吧
[01:11:30] 然后最后其实他的声音反而听不清楚
[01:11:34] 所以今天你会发现说本质上嗯在就是石英
[01:11:39] 就是我们说把声音从背景噪音里面分出来
[01:11:43] 这件事情上面嗯今天的耳机对吧
[01:11:46] 然后能够达到的水平
[01:11:47] 其实你一个比较理想的状态还是有很大的差距的
[01:11:50] 嗯在这个品类里
[01:11:52] 你自己定义的七系产品
[01:11:54] 它的标准是什么呀
[01:11:55] 嗯今天最好的七系耳机应该是就airpods pro对吧
[01:12:00] 然后那有些人会说索尼也或者boss
[01:12:03] 你把他们所有的最好的耳机买回来
[01:12:05] 去测在嘈杂的环境下面的通话效果的话
[01:12:10] 你就会发现其实是很挑战的
[01:12:13] 就刚刚讲背景的噪音嗯
[01:12:15] 很多时候不会被滤掉
[01:12:17] 然后如果一定要滤掉之后
[01:12:18] 你发现那么他的人生就会变得非常的残缺
[01:12:22] 甚至不自然
[01:12:23] 所以呢今天怎么样能够在有效的滤掉背景噪音的同时
[01:12:26] 还能让人声非常的清澈和自然
[01:12:29] 你就一定需要一个大模型来做这件事情
[01:12:31] 嗯还是回到我们自己的经历啊
[01:12:33] 就是其实那你想我们从23年我们第一我们意识到通话不够好
[01:12:40] 要解好通话的问题
[01:12:42] 必须要用刚刚讲的百万级网上参数的模型
[01:12:46] 然后那要跑起来这样的模型在耳机里边
[01:12:51] 你就必须要有成串一体的架构
[01:12:54] 对在这个时候呢
[01:12:56] 其实你就抬头去看诶
[01:12:58] 你希望说今天谁已经做出来这样的芯片对吧
[01:13:01] 然后你可以拿来用
[01:13:02] 但是你真的放眼世界
[01:13:04] 就是没有人当时今天真的做出了那样的芯片
[01:13:08] 我们有做慈善的公司
[01:13:10] 但大家今天定那个时候定义的产品
[01:13:12] 跟今天我们要的东西是是完全不一样的
[01:13:16] 对
[01:13:16] 所以其实那我们就非常自然的选择
[01:13:22] 其实这个事情在公司层面并没有经过什么大量的反复的研讨
[01:13:26] 因为今天还是说你的价值观变了
[01:13:28] 你的使命愿景变了之后
[01:13:29] 你就觉得嗯这就是你应该做的事情
[01:13:31] 嗯对吧
[01:13:32] 所以当我们的团队提出来说
[01:13:34] 那我们要跑大模型
[01:13:35] 我们需要具有这样一颗芯片的时候
[01:13:37] 那我们就说了
[01:13:38] 我们做这颗芯片对
[01:13:40] 所以事实上我们当时就找到
[01:13:42] 就这刚刚你在全市场找了一圈
[01:13:45] 我们找到那个领域里边其实很强
[01:13:48] 最强的一家公司
[01:13:50] 我们跟他们在一起一起定制开发了这样的一颗芯片
[01:13:53] 那呃这个过程其实说实话是非常的困难的
[01:13:57] 因为你想历史上没有这样的东西对吧
[01:14:00] 所以从嗯模型到底是什么样子
[01:14:03] 他对这个芯片提出什么样的要求对吧
[01:14:06] 芯片怎么样定义
[01:14:07] 然后怎么样优化工具链怎么搭
[01:14:10] 然后最后就是各种各样的要解的bug和今天把它在产品上真正的拉起来
[01:14:18] 嗯所以呃23年的8月份开始这个项目
[01:14:23] 到今天就是2026年的4月
[01:14:28] 5月份
[01:14:29] 2026年的5月份对
[01:14:31] 然后这个产品搭载这个芯片的产品终于上市了嗯
[01:14:35] 那它所达成的效果呢
[01:14:37] 因为讲了这么多
[01:14:38] 大家说
[01:14:39] 那你你到底能干嘛对吧
[01:14:41] 它能达成的效果其实是非常清楚的
[01:14:43] 就是呃在任何嘈杂的环境下
[01:14:45] 他都可以准确地把你的人生跟环境噪音分离开
[01:14:51] 这感觉是一个细节的产品优化
[01:14:53] 就感觉造了一个这么大的锤子
[01:14:55] 就做了一个这么小的细节的产品优化
[01:14:57] 这个值得吗
[01:14:59] 呃其实往长期看
[01:15:01] 它其实是就是一个锤子系列的第一个锤子对吧
[01:15:06] 然后但往细节看的话
[01:15:08] 这其实是个非常确定的
[01:15:10] 而且用户很痛的痛点
[01:15:12] 就是我们说从刚刚讲通话的
[01:15:14] 就是任何时候都能有效的通话的角度对吧
[01:15:18] 因为今天我相信你也可能很多时候打很多的的会议电话
[01:15:22] 那么今天无论刚刚讲在什么样的环境下都能安心的通话
[01:15:27] 这个产品或者这样的一个就是我们说的价值的变化
[01:15:31] 你觉得对你来说它是个特别特别小的事情
[01:15:34] 我用的airports对
[01:15:36] 就很多时候你可能就是可能从你的角度
[01:15:40] 因为这个很好玩
[01:15:41] 因为这个feature它的确不是一个你自己感受特别强的feature
[01:15:45] 就换句话就是你的声音有没有跟对吧
[01:15:48] 或者噪音有没有被带进对话里面
[01:15:50] 其实你是不知道
[01:15:51] 换句话说
[01:15:51] 今天你有没有还是在一一个星期里
[01:15:54] 有一些时候被那种对方的噪通话
[01:15:57] 对方的噪音所所bother
[01:15:59] 就是所打扰嘛
[01:16:01] 我觉得因为我们日常开会还是经常会遇到这种情况对吧
[01:16:04] 包括说有些人专门为了这个原因
[01:16:05] 要找一个安静的环境去开会
[01:16:07] 我们这个产品其实刚刚讲
[01:16:08] 不仅他可以把噪音滤掉
[01:16:10] 它还可以实现一个效果叫轻声痛
[01:16:13] 就你在你的座位上用很小的
[01:16:15] 比如你用这样的声音说话
[01:16:16] 然后对方也能听得清清楚楚
[01:16:19] 所以轻声通话加上极致的降噪
[01:16:22] 这个背后其实对它其实本质上代表的是一类
[01:16:26] 我觉得解决问题的范式的第一个应用嗯
[01:16:30] 对所以其实你做芯片的起因也是一个用户体验测的感知
[01:16:35] 它是一个产品洞察
[01:16:36] 对其实我们一直是一个我觉得还是很务实的公司
[01:16:40] 就是我们一直就我们做任何事情的起点
[01:16:42] 都希望是说这个能产生一个特别实际的客户价值
[01:16:46] 嗯对那这新芯片未来会运用在其他场景吗
[01:16:49] 对其实我们讲的就是通话
[01:16:52] 降噪其实是这个芯片能应用的场景之一
[01:16:55] 对本质上就是当今天我们能跑了一个百万参数的大的模型对吧
[01:17:01] 然后在一个功耗很受限的环境的时候
[01:17:05] 就它不只是刚刚讲通话降噪了这样的一个事情
[01:17:08] 它还有很多其他的feature
[01:17:10] 就这个芯片它并不是一个我们大家日常熟悉的芯片对吧
[01:17:14] 好像所有人都会做
[01:17:15] 所有人都觉得说理所应当
[01:17:17] 它其实是一个就市面上并不存在的的一个
[01:17:22] 就第一科这个领域的真正的应用到产品上的芯片了
[01:17:25] 而这个过程其实就是刚刚讲你要克服的不仅仅是困难
[01:17:30] 而实际上说这个方向对不对对吧
[01:17:33] 这样子到底能不能做出来
[01:17:35] 这个很多的好像就是就是未知的的风险
[01:17:39] 但是呢其实回到第一性
[01:17:41] 你今天真的想清楚
[01:17:42] 说他必然应该解答
[01:17:44] 那这些困难你就去克服
[01:17:46] 所以一路过来
[01:17:47] 其实团队嗯大家打怪打了很多很多的怪
[01:17:51] 然后就是也有很多对吧
[01:17:53] 艰难的时刻
[01:17:54] 但最后其实都闯过来
[01:17:56] 然后所以最后搭载在产品上
[01:17:59] 大家能感知到的
[01:18:00] 其实体验是觉得非常的好
[01:18:02] 然后回过头觉得这个过程是非常值得的
[01:18:04] 但目前我们看到一些小参数的模型
[01:18:06] 比如说困的那个7B的模型
[01:18:09] 它的智能程度不高吗
[01:18:11] 我们觉得未来其实你肯定是需要在很多个不同的尺度的上面
[01:18:16] 有不同的模型啊
[01:18:17] 嗯万亿甚至几万亿的模型可以叫超级大脑对吧
[01:18:22] 那么他们在云端解决最困难的问题
[01:18:25] 呃从10亿到百亿的模型大概率是要跑在端侧
[01:18:30] 那么高效率实时的解决我们现场的问题
[01:18:34] 然后最后的话呢
[01:18:36] 那么刚刚讲的这种几百万对吧
[01:18:38] 甚至几千万参数的模型
[01:18:39] 它可能是跑在一些就是感知和控制器官里面
[01:18:44] 其实我拿人来打比方吧
[01:18:46] 那么我们如果用深度神经网络来看的话
[01:18:49] 人的大脑其实是一个深度神经网络对吧
[01:18:53] 人的小脑可能又是一个不同的数量级尺度的深度神经网嗯
[01:18:58] 然后再往下你身上的
[01:18:59] 比如你的眼睛对吧
[01:19:01] 你的耳朵这些感知器官
[01:19:02] 然后你的就是肌肉这些控制器官
[01:19:09] 嗯那么嗯问一下你的眼睛
[01:19:13] 是把他所有看到的参数直接传到大脑去处理吗
[01:19:17] 应该不是对吧
[01:19:19] 其实你眼睛肯定是有一组视神经的
[01:19:22] 嗯这组视神经负责处理好看见的光信号
[01:19:25] 然后只把少量的信号传给大脑
[01:19:28] 反过来讲
[01:19:29] 你的大脑今天是直接控制你的肌肉的每一个细胞的运动吗
[01:19:36] 不是也不是对吧
[01:19:37] 你大脑大概率就是其实在控制你的肌肉的一个整体的运动
[01:19:41] 然后回到你的肌肉上面
[01:19:43] 它其实有一些呃一组神经细胞
[01:19:45] 它其实在控制肌肉的具体的运动
[01:19:48] 所以我们觉得我们觉得未来大概率也应该是这样
[01:19:51] 就是那么你不同的感知器官和控制器官上面
[01:19:55] 都应该跑一些跟他的问题的复杂度相关的
[01:20:01] 或者跟他的问题复杂度匹配的一些神经网络
[01:20:05] 嗯对吧
[01:20:06] 比如说你觉得你的比如肌肉神经大概应该是多少参数
[01:20:10] 你的眼神经和你的耳朵的神经大概应该多少参数
[01:20:14] 他们是不是应该比你大脑的神经的参数要低一个
[01:20:18] 两个甚至更多的数量级
[01:20:19] 嗯对吧
[01:20:20] 那么刚刚讲的切神经网络
[01:20:23] 当然了
[01:20:23] 这里面有两派理论了
[01:20:25] 一派是说今天今天的情况实际上是说并不单独的拆除这些神经出来
[01:20:32] 而是今天把所有传感器的原本的数据直接导入大模型里面去
[01:20:36] 嗯对吧
[01:20:37] 但是那我们会觉得这个长期来看真的是那个最好的和最正确的方式吗
[01:20:43] 因为你发现大家的频率不同对吧
